recovery_url_id,competitor_authority_id,canonical_site,scope_policy,source_url_raw,attempt1_url_id,computed_canonical_url,final_url,discovery_source,discovery_parent_url,access_route,terminal_status,target_http_status,robots_decision,browser_rendered,page_evidence_id,error_class,error_detail,captured_at_utc,notes
R9-S07U000061,S07A003,market.yandex.ru,EVIDENCE_ANCHORED_RELEVANT_SUBTREE,https://market.yandex.ru/journal/chto-edyat-ulitki-polnyy-gid-po-pitaniyu-i-uhodu,S07U000061,https://market.yandex.ru/journal/chto-edyat-ulitki-polnyy-gid-po-pitaniyu-i-uhodu,https://market.yandex.ru/journal/chto-edyat-ulitki-polnyy-gid-po-pitaniyu-i-uhodu,ATTEMPT1_LEDGER,https://market.yandex.ru/journal/chto-edyat-ulitki-polnyy-gid-po-pitaniyu-i-uhodu,codex_in_app_browser,EXCLUDED_OUT_OF_SCOPE,NOT_COLLECTED,NOT_EVALUATED,false,,,,2026-09-17T10:06:35.7253053Z,STEP06_COLLISION_ONLY_SEED
R9-S07U000070,S07A003,market.yandex.ru,EVIDENCE_ANCHORED_RELEVANT_SUBTREE,https://market.yandex.ru/search?text=%D0%BC%D0%BE%D0%BB%D0%BE%D1%82%20%D1%82%D0%BE%D1%80%D0%B0,S07U000070,https://market.yandex.ru/search?text=%D0%BC%D0%BE%D0%BB%D0%BE%D1%82+%D1%82%D0%BE%D1%80%D0%B0,https://market.yandex.ru/search?text=%D0%BC%D0%BE%D0%BB%D0%BE%D1%82+%D1%82%D0%BE%D1%80%D0%B0,ATTEMPT1_LEDGER,https://market.yandex.ru/search?text=%D0%BC%D0%BE%D0%BB%D0%BE%D1%82%20%D1%82%D0%BE%D1%80%D0%B0,codex_in_app_browser,EXCLUDED_OUT_OF_SCOPE,NOT_COLLECTED,NOT_EVALUATED,false,,,,2026-09-17T10:06:35.7253053Z,STEP06_COLLISION_ONLY_SEED
R9-S07U000072,S07A003,market.yandex.ru,EVIDENCE_ANCHORED_RELEVANT_SUBTREE,https://market.yandex.ru/search?text=%D0%BC%D0%BE%D0%BB%D0%BE%D1%82%20%D1%82%D0%BE%D1%80%D0%B0%20%D0%B2%20%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%83%D1%8E%20%D0%B2%D0%B5%D0%BB%D0%B8%D1%87%D0%B8%D0%BD%D1%83,S07U000072,https://market.yandex.ru/search?text=%D0%BC%D0%BE%D0%BB%D0%BE%D1%82+%D1%82%D0%BE%D1%80%D0%B0+%D0%B2+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%83%D1%8E+%D0%B2%D0%B5%D0%BB%D0%B8%D1%87%D0%B8%D0%BD%D1%83,https://market.yandex.ru/search?text=%D0%BC%D0%BE%D0%BB%D0%BE%D1%82+%D1%82%D0%BE%D1%80%D0%B0+%D0%B2+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%83%D1%8E+%D0%B2%D0%B5%D0%BB%D0%B8%D1%87%D0%B8%D0%BD%D1%83,ATTEMPT1_LEDGER,https://market.yandex.ru/search?text=%D0%BC%D0%BE%D0%BB%D0%BE%D1%82%20%D1%82%D0%BE%D1%80%D0%B0%20%D0%B2%20%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%83%D1%8E%20%D0%B2%D0%B5%D0%BB%D0%B8%D1%87%D0%B8%D0%BD%D1%83,codex_in_app_browser,EXCLUDED_OUT_OF_SCOPE,NOT_COLLECTED,NOT_EVALUATED,false,,,,2026-09-17T10:06:35.7253053Z,STEP06_COLLISION_ONLY_SEED
R9-S07U000086,S07A005,avito.ru,EVIDENCE_ANCHORED_RELEVANT_SUBTREE,https://www.avito.ru/all/kollektsionirovanie/drugoe-ASgBAgICAUQckEw?q=%D0%BC%D0%BE%D0%BB%D0%BE%D1%82+%D1%82%D0%BE%D1%80%D0%B0,S07U000086,https://www.avito.ru/all/kollektsionirovanie/drugoe-ASgBAgICAUQckEw?q=%D0%BC%D0%BE%D0%BB%D0%BE%D1%82+%D1%82%D0%BE%D1%80%D0%B0,https://www.avito.ru/all/kollektsionirovanie/drugoe-ASgBAgICAUQckEw?q=%D0%BC%D0%BE%D0%BB%D0%BE%D1%82+%D1%82%D0%BE%D1%80%D0%B0,ATTEMPT1_LEDGER,https://www.avito.ru/all/kollektsionirovanie/drugoe-ASgBAgICAUQckEw?q=%D0%BC%D0%BE%D0%BB%D0%BE%D1%82+%D1%82%D0%BE%D1%80%D0%B0,codex_in_app_browser,EXCLUDED_OUT_OF_SCOPE,NOT_COLLECTED,NOT_EVALUATED,false,,,,2026-09-17T10:06:35.7253053Z,STEP06_COLLISION_ONLY_SEED
R9-S07U000087,S07A005,avito.ru,EVIDENCE_ANCHORED_RELEVANT_SUBTREE,https://www.avito.ru/all/kollektsionirovanie?q=%D0%BC%D0%BE%D0%BB%D0%BE%D1%82+%D1%82%D0%BE%D1%80%D0%B0,S07U000087,https://www.avito.ru/all/kollektsionirovanie?q=%D0%BC%D0%BE%D0%BB%D0%BE%D1%82+%D1%82%D0%BE%D1%80%D0%B0,https://www.avito.ru/all/kollektsionirovanie?q=%D0%BC%D0%BE%D0%BB%D0%BE%D1%82+%D1%82%D0%BE%D1%80%D0%B0,ATTEMPT1_LEDGER,https://www.avito.ru/all/kollektsionirovanie?q=%D0%BC%D0%BE%D0%BB%D0%BE%D1%82+%D1%82%D0%BE%D1%80%D0%B0,codex_in_app_browser,EXCLUDED_OUT_OF_SCOPE,NOT_COLLECTED,NOT_EVALUATED,false,,,,2026-09-17T10:06:35.7253053Z,STEP06_COLLISION_ONLY_SEED
R9-S07U000101,S07A008,ru.wikipedia.org,EVIDENCE_ANCHORED_RELEVANT_SUBTREE,https://ru.wikipedia.org/wiki/%D0%91%D1%80%D1%8E%D1%85%D0%BE%D0%BD%D0%BE%D0%B3%D0%B8%D0%B5,S07U000101,https://ru.wikipedia.org/wiki/%D0%91%D1%80%D1%8E%D1%85%D0%BE%D0%BD%D0%BE%D0%B3%D0%B8%D0%B5,https://ru.wikipedia.org/wiki/%D0%91%D1%80%D1%8E%D1%85%D0%BE%D0%BD%D0%BE%D0%B3%D0%B8%D0%B5,ATTEMPT1_LEDGER,https://ru.wikipedia.org/wiki/%D0%91%D1%80%D1%8E%D1%85%D0%BE%D0%BD%D0%BE%D0%B3%D0%B8%D0%B5,codex_in_app_browser,EXCLUDED_OUT_OF_SCOPE,NOT_COLLECTED,NOT_EVALUATED,false,,,,2026-09-17T10:06:35.7253053Z,STEP06_COLLISION_ONLY_SEED
R9-S07U000104,S07A008,ru.wikipedia.org,EVIDENCE_ANCHORED_RELEVANT_SUBTREE,https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%BD%D0%BE%D0%B3%D1%80%D0%B0%D0%B4%D0%BD%D0%B0%D1%8F_%D1%83%D0%BB%D0%B8%D1%82%D0%BA%D0%B0,S07U000104,https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%BD%D0%BE%D0%B3%D1%80%D0%B0%D0%B4%D0%BD%D0%B0%D1%8F_%D1%83%D0%BB%D0%B8%D1%82%D0%BA%D0%B0,https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%BD%D0%BE%D0%B3%D1%80%D0%B0%D0%B4%D0%BD%D0%B0%D1%8F_%D1%83%D0%BB%D0%B8%D1%82%D0%BA%D0%B0,ATTEMPT1_LEDGER,https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%BD%D0%BE%D0%B3%D1%80%D0%B0%D0%B4%D0%BD%D0%B0%D1%8F_%D1%83%D0%BB%D0%B8%D1%82%D0%BA%D0%B0,codex_in_app_browser,EXCLUDED_OUT_OF_SCOPE,NOT_COLLECTED,NOT_EVALUATED,false,,,,2026-09-17T10:06:35.7253053Z,STEP06_COLLISION_ONLY_SEED
R9-S07U000116,S07A008,ru.wikipedia.org,EVIDENCE_ANCHORED_RELEVANT_SUBTREE,https://ru.wikipedia.org/wiki/%D0%A3%D0%BB%D0%B8%D1%82%D0%BA%D0%B0_(%D0%B6%D0%B8%D0%B7%D0%BD%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F_%D1%84%D0%BE%D1%80%D0%BC%D0%B0),S07U000116,https://ru.wikipedia.org/wiki/%D0%A3%D0%BB%D0%B8%D1%82%D0%BA%D0%B0_(%D0%B6%D0%B8%D0%B7%D0%BD%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F_%D1%84%D0%BE%D1%80%D0%BC%D0%B0),https://ru.wikipedia.org/wiki/%D0%A3%D0%BB%D0%B8%D1%82%D0%BA%D0%B0_(%D0%B6%D0%B8%D0%B7%D0%BD%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F_%D1%84%D0%BE%D1%80%D0%BC%D0%B0),ATTEMPT1_LEDGER,https://ru.wikipedia.org/wiki/%D0%A3%D0%BB%D0%B8%D1%82%D0%BA%D0%B0_(%D0%B6%D0%B8%D0%B7%D0%BD%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F_%D1%84%D0%BE%D1%80%D0%BC%D0%B0),codex_in_app_browser,EXCLUDED_OUT_OF_SCOPE,NOT_COLLECTED,NOT_EVALUATED,false,,,,2026-09-17T10:06:35.7253053Z,STEP06_COLLISION_ONLY_SEED
R9-S07U000121,S07A009,ru.ruwiki.ru,EVIDENCE_ANCHORED_RELEVANT_SUBTREE,https://ru.ruwiki.ru/wiki/%D0%92%D0%B8%D0%BD%D0%BE%D0%B3%D1%80%D0%B0%D0%B4%D0%BD%D0%B0%D1%8F_%D1%83%D0%BB%D0%B8%D1%82%D0%BA%D0%B0,S07U000121,https://ru.ruwiki.ru/wiki/%D0%92%D0%B8%D0%BD%D0%BE%D0%B3%D1%80%D0%B0%D0%B4%D0%BD%D0%B0%D1%8F_%D1%83%D0%BB%D0%B8%D1%82%D0%BA%D0%B0,https://ru.ruwiki.ru/wiki/%D0%92%D0%B8%D0%BD%D0%BE%D0%B3%D1%80%D0%B0%D0%B4%D0%BD%D0%B0%D1%8F_%D1%83%D0%BB%D0%B8%D1%82%D0%BA%D0%B0,ATTEMPT1_LEDGER,https://ru.ruwiki.ru/wiki/%D0%92%D0%B8%D0%BD%D0%BE%D0%B3%D1%80%D0%B0%D0%B4%D0%BD%D0%B0%D1%8F_%D1%83%D0%BB%D0%B8%D1%82%D0%BA%D0%B0,codex_in_app_browser,EXCLUDED_OUT_OF_SCOPE,NOT_COLLECTED,NOT_EVALUATED,false,,,,2026-09-17T10:06:35.7253053Z,STEP06_COLLISION_ONLY_SEED
R9-S07U000126,S07A009,ru.ruwiki.ru,EVIDENCE_ANCHORED_RELEVANT_SUBTREE,https://ru.ruwiki.ru/wiki/%D0%A3%D0%BB%D0%B8%D1%82%D0%BA%D0%B0_(%D0%B6%D0%B8%D0%B7%D0%BD%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F_%D1%84%D0%BE%D1%80%D0%BC%D0%B0),S07U000126,https://ru.ruwiki.ru/wiki/%D0%A3%D0%BB%D0%B8%D1%82%D0%BA%D0%B0_(%D0%B6%D0%B8%D0%B7%D0%BD%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F_%D1%84%D0%BE%D1%80%D0%BC%D0%B0),https://ru.ruwiki.ru/wiki/%D0%A3%D0%BB%D0%B8%D1%82%D0%BA%D0%B0_(%D0%B6%D0%B8%D0%B7%D0%BD%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F_%D1%84%D0%BE%D1%80%D0%BC%D0%B0),ATTEMPT1_LEDGER,https://ru.ruwiki.ru/wiki/%D0%A3%D0%BB%D0%B8%D1%82%D0%BA%D0%B0_(%D0%B6%D0%B8%D0%B7%D0%BD%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F_%D1%84%D0%BE%D1%80%D0%BC%D0%B0),codex_in_app_browser,EXCLUDED_OUT_OF_SCOPE,NOT_COLLECTED,NOT_EVALUATED,false,,,,2026-09-17T10:06:35.7253053Z,STEP06_COLLISION_ONLY_SEED
