normalized_phrase_id	canonical_phrase	current_state	current_reason_code	audit_state	audit_verdict	audit_basis	audit_confidence	rule_defect	raw_occurrence_count	raw_occurrence_ids	corrected_step04_family_ids	corrected_step04_family_states	audit_boundary
NP00001	амулет	KEEP	KEEP_PLAUSIBLE_BUSINESS_FIT	KEEP	KEEP_CONFIRMED	FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	high		7	"[""R001|results|0001"",""R002|associations|0005"",""R003|associations|0003"",""R005|associations|0002"",""R056|associations|0002"",""R058|associations|0003"",""R068|associations|0002""]"	"[""F001"",""F013""]"	"[""mixed/ambiguous"",""plausible in-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00002	счастливый амулет	HOLD	HOLD_ENTITY_COLLISION	HOLD	HOLD_CONFIRMED	TITLE_LIKE_PRODUCT_WORD_COLLISION	medium		2	"[""R001|results|0002"",""R061|associations|0001""]"	"[""F013"",""F025""]"	"[""mixed/ambiguous""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00003	амулет дзене	HOLD	HOLD_ENTITY_COLLISION	HOLD	HOLD_CONFIRMED	TITLE_LIKE_PRODUCT_WORD_COLLISION	medium		1	"[""R001|results|0003""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00004	амулет дзен	HOLD	HOLD_ENTITY_COLLISION	HOLD	HOLD_CONFIRMED	TITLE_LIKE_PRODUCT_WORD_COLLISION	medium		1	"[""R001|results|0004""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00005	счастливый амулет дзен	HOLD	HOLD_ENTITY_COLLISION	HOLD	HOLD_CONFIRMED	TITLE_LIKE_PRODUCT_WORD_COLLISION	medium		2	"[""R001|results|0005"",""R062|associations|0001""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00006	чери амулет	EXCLUDE	EXCLUDE_EXPLICIT_VEHICLE_OR_MODEL	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_VEHICLE_MODEL_OR_PART_CONTEXT	high		1	"[""R001|results|0006""]"	"[""F015""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00007	чере амулет	EXCLUDE	EXCLUDE_EXPLICIT_VEHICLE_OR_MODEL	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_VEHICLE_BRAND_OR_MODEL_CONTEXT	high		1	"[""R001|results|0007""]"	"[""F015""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00008	амулет город	HOLD	HOLD_ENTITY_COLLISION	HOLD	HOLD_CONFIRMED	PRODUCT_OR_CATALOG_NAME_WITH_PLACE_OR_ORGANIZATION	medium		1	"[""R001|results|0008""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00009	счастливый амулет и город	HOLD	HOLD_ENTITY_COLLISION	HOLD	HOLD_CONFIRMED	PRODUCT_OR_CATALOG_NAME_WITH_PLACE_OR_ORGANIZATION	medium		1	"[""R001|results|0009""]"	"[""F025""]"	"[""mixed/ambiguous""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00010	счастливый амулет и город перестал	HOLD	HOLD_ENTITY_COLLISION	HOLD	HOLD_CONFIRMED	PRODUCT_OR_CATALOG_NAME_WITH_PLACE_OR_ORGANIZATION	medium		1	"[""R001|results|0010""]"	"[""F025""]"	"[""mixed/ambiguous""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
