query_a_id,query_a,query_b_id,query_b,exact_url_overlap_top10,domain_overlap_top10,url_union_top10,domain_union_top10,url_jaccard_top10,domain_jaccard_top10,shared_urls_top10,shared_domains_top10,comparison_scope,decision_scope
S06Q001,амулет,S06Q002,оберег,0,3,20,13,0.0,0.230769,,ozon.ru | slavyanskieoberegi.ru | wildberries.ru,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q001,амулет,S06Q003,талисман,0,2,20,15,0.0,0.133333,,ozon.ru | ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q001,амулет,S06Q004,аум,0,1,20,19,0.0,0.052632,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q001,амулет,S06Q005,буддийский символ,0,2,20,16,0.0,0.125,,happywitch.ru | ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q001,амулет,S06Q006,ваджра,0,1,20,18,0.0,0.055556,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q001,амулет,S06Q007,лотос,0,1,20,17,0.0,0.058824,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q001,амулет,S06Q008,мантра,0,1,20,16,0.0,0.0625,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q001,амулет,S06Q009,молот тора,0,4,20,14,0.0,0.285714,,livemaster.ru | ozon.ru | ru.wikipedia.org | wildberries.ru,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q001,амулет,S06Q010,мусульманский амулет,0,2,20,15,0.0,0.133333,,ozon.ru | wildberries.ru,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q001,амулет,S06Q011,ом,0,1,20,19,0.0,0.052632,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q001,амулет,S06Q012,подкова,0,2,20,15,0.0,0.133333,,livemaster.ru | ozon.ru,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q001,амулет,S06Q013,руна,0,3,20,17,0.0,0.176471,,happywitch.ru | ozon.ru | ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q001,амулет,S06Q014,руна альгиз,0,1,20,19,0.0,0.052632,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q001,амулет,S06Q015,руна отал,0,1,20,19,0.0,0.052632,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q001,амулет,S06Q016,руна феху,0,1,20,19,0.0,0.052632,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q001,амулет,S06Q017,славянский оберег,1,4,19,13,0.052632,0.307692,https://slavyanskieoberegi.ru/,livemaster.ru | ozon.ru | slavyanskieoberegi.ru | wildberries.ru,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
