family_id	family_label_plain_russian	family_definition	in_scope_boundary	out_of_scope_boundary	representative_phrases	normalized_identity_count	raw_occurrence_count	keep_identity_count	hold_identity_count	keep_raw_count	hold_raw_count	business_lineage	business_relevance_confidence	family_coherence_confidence	primary_user_task_hypothesis	intent_hint_not_final	final_intent_status	serp_cluster_status	ambiguity_classes	coverage_state	family_triage_state	expansion_needed	expansion_reason	sanitation_feedback_present	superseded_family_mapping_summary	uncertainty	frequency_used_for_family_decision	coherence_regression_gate
PSF001	Общие названия товара без уточнения	Амулет, оберег или талисман без достаточного уточнения предмета и без явной пользовательской задачи.	Прямое клиентское товарное слово без доказанного чужого референта.	Явные media/game/vehicle/entity, toy, DIY/make/craft контексты и финальный intent verdict.	"[""амулет"",""оберег"",""амулет 1"",""амулет 2"",""амулет 3"",""амулет 4"",""амулет 5"",""амулет 6""]"	2870	2948	2870	0	2948	0	CLIENT_SUPPLIED_BRIEF: амулеты/обереги/талисманы; 76-card Ozon catalog; Russia	SUPPORTED_OR_PLAUSIBLE_NOT_FINAL	DIAGNOSTIC_PASS_WITH_NONBLOCKING_HETEROGENEITY	Найти или понять общий класс товара.	MIXED_COMMERCIAL_INFORMATIONAL_NOT_FINAL	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	GENERIC_PRODUCT_NOUN_NEEDS_REFERENT	OBSERVED_FULL_VOLUME	PLAUSIBLE_IN_SCOPE	NO	Сначала построчная проверка Step10.	NO	PSF001:2870	Короткая формулировка не раскрывает референт и задачу.	NO	PASS_WITH_NONBLOCKING_FINDINGS
PSF002	Общие товарные запросы с покупкой	Товарное слово с явным маркером покупки, цены, заказа, магазина или доставки.	Поддержанный класс товара и коммерческая формулировка без явного чужого объекта.	Чужая модель/медиа/игра даже при наличии слова товара.	"[""амулет озон"",""озон оберег"",""амулет авито"",""амулеты цена"",""авито обереги"",""купить амулет"",""купить оберег"",""магазин амулет""]"	70	70	70	0	70	0	CLIENT_SUPPLIED_BRIEF: амулеты/обереги/талисманы; 76-card Ozon catalog; Russia	HIGH_BUSINESS_SUPPORT_NOT_FINAL	DIAGNOSTIC_PASS_NOT_FINAL	Выбрать и приобрести товар общего класса.	COMMERCIAL_TRANSACTIONAL_HINT_NOT_FINAL	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	LOW_AT_FAMILY_LEVEL	OBSERVED_FULL_VOLUME	STRONG_IN_SCOPE	NO	Текущего словаря достаточно для семейной фиксации.	NO	PSF002:70	Страница и окончательное намерение ещё не определены.	NO	PASS
PSF003	Товары для автомобиля	Амулеты, обереги, талисманы или чётки с явным сценарием использования в машине/для водителя.	Клиент явно сообщает автомобильный ассортимент; фраза описывает использование предмета.	Марка, модель, деталь, ремонт, краска и совместимость автозапчасти.	"[""четки в авто"",""четки в машину"",""четки для авто"",""амулет в машину"",""оберег в машину"",""оберег для авто"",""амулеты для авто"",""четки для машины""]"	148	158	148	0	158	0	CLIENT_SUPPLIED_BRIEF: амулеты/обереги/талисманы; 76-card Ozon catalog; Russia	HIGH_BUSINESS_SUPPORT_NOT_FINAL	DIAGNOSTIC_PASS_WITH_NONBLOCKING_HETEROGENEITY	Выбрать символический товар для автомобиля или водителя.	COMMERCIAL_USE_CASE_HINT_NOT_FINAL	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	PRODUCT_VS_VEHICLE_MODEL_OR_PART	OBSERVED_BOUNDARY_NEEDS_LATER_CHECK	STRONG_IN_SCOPE	YES	Остаётся bounded use-vs-model collision.	NO	PSF003:148	Конкретная физическая форма и модель товара не установлены для каждой фразы.	NO	PASS_WITH_NONBLOCKING_FINDINGS
PSF004	Чётки как физический предмет	Фразы о чётках/четках как предмете, включая выбор, виды и использование.	Чётки прямо присутствуют в четырёх карточках Ozon.	Явная практика без предмета, лексическое 'чётко', игры/медиа и автодетали.	"[""четки"",""4 четки"",""b четки"",""ж четки"",""четки 1"",""четки 2"",""четки б"",""четки н""]"	662	663	662	0	663	0	CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv; exact catalog names only; physical form mostly not stated	SUPPORTED_OR_PLAUSIBLE_NOT_FINAL	DIAGNOSTIC_PASS_WITH_NONBLOCKING_HETEROGENEITY	Найти, выбрать или понять чётки как предмет.	MIXED_PRODUCT_INFORMATIONAL_NOT_FINAL	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	GENERIC_PRODUCT_NOUN_NEEDS_REFERENT	OBSERVED_FULL_VOLUME	PLAUSIBLE_IN_SCOPE	YES	Нужна контролируемая морфологическая граница.	NO	PSF004:662	Форма слова и религиозный/автомобильный контекст требуют дальнейшего evidence.	NO	PASS_WITH_NONBLOCKING_FINDINGS
PSF005	Каталожное имя с товаром, формой или покупкой	Название из разрешённого каталога рядом с товарным словом, физической формой или коммерческим маркером.	Каталожное имя явно поддержано и квалифицировано как предмет/покупка.	Одноимённая игра, медиа, место, организация или автомобильный объект.	"[""оберег ом"",""амулет чур"",""амулеты ом"",""оберег чур"",""амулет жива"",""амулет хорс"",""знич оберег"",""оберег мара""]"	497	537	365	132	403	134	CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv; exact catalog names only; physical form mostly not stated	SUPPORTED_OR_PLAUSIBLE_NOT_FINAL	DIAGNOSTIC_PASS_WITH_NONBLOCKING_HETEROGENEITY	Найти или купить предмет с конкретным символом/именем.	COMMERCIAL_OR_PRODUCT_RESEARCH_HINT_NOT_FINAL	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	PRODUCT_NAME_NEEDS_REFERENT_CONFIRMATION	OBSERVED_FULL_VOLUME	PLAUSIBLE_IN_SCOPE	YES	Часть имён всё ещё имеет наблюдаемые омонимы.	YES	PSF005:497	Каталог подтверждает имя, но не всегда форму или пользовательскую задачу.	NO	PASS_WITH_NONBLOCKING_FINDINGS
PSF006	Каталожное имя без достаточного уточнения	Короткое прямое имя/символ из Ozon без достаточного товарного либо чужого контекста.	Совпадение с точным каталогом сохраняет бизнес-возможность.	Автоматический KEEP, значение, страница или историческая трактовка по одному имени.	"[""знич"",""алатырь"",""белобог"",""гунгнир"",""семаргл"",""стрибог"",""триглав"",""бог знич""]"	2109	2131	0	2109	0	2131	CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv; exact catalog names only; physical form mostly not stated	AMBIGUOUS_BUSINESS_RELEVANCE_NOT_FINAL	DIAGNOSTIC_PASS_WITH_NONBLOCKING_HETEROGENEITY	Найти объект или сведения по известному имени.	REFERENT_UNKNOWN_INTENT_NOT_FINAL	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	PRODUCT_NAME_VS_PERSON_PLACE_OR_ORGANIZATION	OBSERVED_FULL_VOLUME	MIXED_AMBIGUOUS	YES	Нужны квалифицированные товарные ветви для омонимичных имён.	NO	PSF006:2109	Само совпадение с названием карточки не доказывает товарный референт.	NO	PASS_WITH_NONBLOCKING_FINDINGS
PSF007	Значение, история и трактовка каталожных символов	Фразы о значении, истории, происхождении и трактовке поддержанных имён/символов.	Каталожное имя поддержано; информационная тема видима.	Историческая истинность, мистический эффект и будущая страница.	"[""обереги смысл"",""история обереги"",""оберег описание"",""история амулетов"",""описание амулетов"",""талисман значение"",""что значит амулет"",""амулет ом значение""]"	360	377	166	194	180	197	CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv; exact catalog names only; physical form mostly not stated	SUPPORTED_OR_PLAUSIBLE_NOT_FINAL	DIAGNOSTIC_PASS_NOT_FINAL	Понять смысл или происхождение символа/названия.	INFORMATIONAL_HINT_NOT_FINAL	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	PRODUCT_VS_INFORMATION	OBSERVED_FULL_VOLUME	MIXED_AMBIGUOUS	NO	Расширять до Step10/свежего SERP не требуется.	NO	PSF007:360	Интерес к значению не доказывает интерес к продаваемому предмету.	NO	PASS
PSF008	Визуальные символы, руны и body-art	Изображения, символы, руны, тату, эскизы и визуальные формы, пересекающиеся с каталогом.	Имя/символ может совпадать с ассортиментом.	Утверждение, что тату/картинка является продаваемым товаром или отдельной страницей.	"[""амулет фото"",""оберег фото"",""обои оберег"",""тату оберег"",""талисман фото"",""эскизы оберег"",""картина оберег"",""оберег рисунок""]"	339	339	89	250	89	250	CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv; exact catalog names only; physical form mostly not stated	SUPPORTED_OR_PLAUSIBLE_NOT_FINAL	DIAGNOSTIC_PASS_NOT_FINAL	Посмотреть или использовать визуальное изображение символа.	VISUAL_INFORMATIONAL_HINT_NOT_FINAL	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	PRODUCT_VS_INFORMATION	OBSERVED_FULL_VOLUME	MIXED_AMBIGUOUS	NO	Требуется поздняя построчная/SERP проверка, не expansion.	NO	PSF008:336;PSF001:2;PSF004:1	Визуальная задача и товарная задача могут расходиться.	NO	PASS
PSF009	Каталожные имена с омонимами	Поддержанное каталогом имя, для которого фраза оставляет конкурирующий референт.	Каталожное имя сохраняет возможную товарную связь.	Решение по одному токену или историческому family label.	"[""аум 1"",""аум 2"",""аум 3"",""аум 4"",""аум м"",""аум 10"",""аум ом"",""аум ра""]"	336	338	0	336	0	338	CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv; exact catalog names only; physical form mostly not stated	AMBIGUOUS_BUSINESS_RELEVANCE_NOT_FINAL	DIAGNOSTIC_PASS_WITH_NONBLOCKING_HETEROGENEITY	Уточнить, какой объект скрывается за именем.	MIXED_REFERENT_NOT_FINAL	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	PRODUCT_NAME_VS_PERSON_PLACE_OR_ORGANIZATION	OBSERVED_COLLISION_ZONE	MIXED_AMBIGUOUS	YES	Материальные омонимы требуют bounded qualified probes later.	NO	PSF009:336	Текущего текста недостаточно для выбора референта.	NO	PASS_WITH_NONBLOCKING_FINDINGS
PSF010	Форма или материал вне подтверждённых фактов	Физические формы и материалы, наблюдаемые в спросе, но обычно не указанные в 76 заголовках.	Товарный контекст возможен.	Вывод о наличии конкретной формы/материала без client fact.	"[""бусы обереги"",""кулон амулет"",""кулон оберег"",""оберег сталь"",""брелок амулет"",""брелок оберег"",""золото амулет"",""кольцо амулет""]"	92	100	76	16	77	23	CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv; exact catalog names only; physical form mostly not stated	SUPPORTED_OR_PLAUSIBLE_NOT_FINAL	DIAGNOSTIC_PASS_WITH_NONBLOCKING_HETEROGENEITY	Выбрать товар по форме или материалу.	COMMERCIAL_OR_PRODUCT_RESEARCH_HINT_NOT_FINAL	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	GENERIC_PRODUCT_NOUN_NEEDS_REFERENT	OWNER_FACT_GAP_WITH_OBSERVED_DEMAND	MIXED_AMBIGUOUS	YES	Сначала нужен факт владельца о форме/материале.	NO	PSF010:92	Запрос не является доказательством наличия товара.	NO	PASS_WITH_NONBLOCKING_FINDINGS
