normalized_phrase_id	canonical_phrase	sanitation_state	sanitation_reason_code	sanitation_rule	business_fit_state	ambiguity_state	raw_occurrence_count	all_raw_occurrence_ids	seed_ids	run_orders	provider_request_ids	observed_count_values	implicit_duplicate_group_id	notes
NP00001	амулет	KEEP_CANDIDATE	KEEP_PLAUSIBLE_BUSINESS_FIT	FROZEN_CLIENT_PRODUCT_TERM_WITHOUT_EXPLICIT_OUT_OF_SCOPE_CONTEXT	DIRECT_OR_PLAUSIBLE_WITHIN_FROZEN_CLIENT_SCOPE	NO_EXPLICIT_CONTRADICTORY_CONTEXT_DETECTED	7	"[""R001|results|0001"",""R002|associations|0005"",""R003|associations|0003"",""R005|associations|0002"",""R056|associations|0002"",""R058|associations|0003"",""R068|associations|0002""]"	"[""S001"",""S002"",""S003"",""S005"",""Q008"",""Q010"",""U001""]"	"[""1"",""2"",""3"",""5"",""56"",""58"",""68""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070"",""wordstat-59d28ae6-a727-400c-8cb4-9a9e6ca352a0"",""wordstat-7fa06c3d-a03c-4daa-a1ab-a33c7583d2e6"",""wordstat-9abdd468-6be0-4488-87b0-1ef4e0c00eec"",""wordstat-7c93faaa-4e04-4aa9-a1e7-48adcf84e7d8"",""wordstat-b97c3933-0ff9-41b4-9837-0694f0afdbc4"",""wordstat-3515351f-1a9b-426b-91c2-860e7b3d8185""]"	"[""478857"",""478463""]"		Retained for later governed analysis; no final intent, cluster, page or IA assignment made.
NP00024	где амулет	KEEP_CANDIDATE	KEEP_PLAUSIBLE_BUSINESS_FIT	FROZEN_CLIENT_PRODUCT_TERM_WITHOUT_EXPLICIT_OUT_OF_SCOPE_CONTEXT	DIRECT_OR_PLAUSIBLE_WITHIN_FROZEN_CLIENT_SCOPE	NO_EXPLICIT_CONTRADICTORY_CONTEXT_DETECTED	1	"[""R001|results|0024""]"	"[""S001""]"	"[""1""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""14808""]"		Retained for later governed analysis; no final intent, cluster, page or IA assignment made.
NP00025	какой амулет	KEEP_CANDIDATE	KEEP_PLAUSIBLE_BUSINESS_FIT	FROZEN_CLIENT_PRODUCT_TERM_WITHOUT_EXPLICIT_OUT_OF_SCOPE_CONTEXT	DIRECT_OR_PLAUSIBLE_WITHIN_FROZEN_CLIENT_SCOPE	NO_EXPLICIT_CONTRADICTORY_CONTEXT_DETECTED	1	"[""R001|results|0025""]"	"[""S001""]"	"[""1""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""13095""]"		Retained for later governed analysis; no final intent, cluster, page or IA assignment made.
NP00029	купить амулет	KEEP_CANDIDATE	KEEP_DIRECT_BUSINESS_FIT	FROZEN_CLIENT_PRODUCT_TERM_WITH_COMMERCIAL_OR_CAR_USE_CONTEXT	DIRECT_OR_PLAUSIBLE_WITHIN_FROZEN_CLIENT_SCOPE	NO_EXPLICIT_CONTRADICTORY_CONTEXT_DETECTED	1	"[""R001|results|0029""]"	"[""S001""]"	"[""1""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""12350""]"		Retained for later governed analysis; no final intent, cluster, page or IA assignment made.
NP00033	амулет 2	KEEP_CANDIDATE	KEEP_PLAUSIBLE_BUSINESS_FIT	FROZEN_CLIENT_PRODUCT_TERM_WITHOUT_EXPLICIT_OUT_OF_SCOPE_CONTEXT	DIRECT_OR_PLAUSIBLE_WITHIN_FROZEN_CLIENT_SCOPE	NO_EXPLICIT_CONTRADICTORY_CONTEXT_DETECTED	1	"[""R001|results|0033""]"	"[""S001""]"	"[""1""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""9711""]"		Retained for later governed analysis; no final intent, cluster, page or IA assignment made.
NP00038	hollow knight амулеты	KEEP_CANDIDATE	KEEP_PLAUSIBLE_BUSINESS_FIT	FROZEN_CLIENT_PRODUCT_TERM_WITHOUT_EXPLICIT_OUT_OF_SCOPE_CONTEXT	DIRECT_OR_PLAUSIBLE_WITHIN_FROZEN_CLIENT_SCOPE	NO_EXPLICIT_CONTRADICTORY_CONTEXT_DETECTED	1	"[""R001|results|0038""]"	"[""S001""]"	"[""1""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""7254""]"		Retained for later governed analysis; no final intent, cluster, page or IA assignment made.
NP00044	амулет 1	KEEP_CANDIDATE	KEEP_PLAUSIBLE_BUSINESS_FIT	FROZEN_CLIENT_PRODUCT_TERM_WITHOUT_EXPLICIT_OUT_OF_SCOPE_CONTEXT	DIRECT_OR_PLAUSIBLE_WITHIN_FROZEN_CLIENT_SCOPE	NO_EXPLICIT_CONTRADICTORY_CONTEXT_DETECTED	1	"[""R001|results|0044""]"	"[""S001""]"	"[""1""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""6269""]"		Retained for later governed analysis; no final intent, cluster, page or IA assignment made.
NP00045	канал амулет	KEEP_CANDIDATE	KEEP_PLAUSIBLE_BUSINESS_FIT	FROZEN_CLIENT_PRODUCT_TERM_WITHOUT_EXPLICIT_OUT_OF_SCOPE_CONTEXT	DIRECT_OR_PLAUSIBLE_WITHIN_FROZEN_CLIENT_SCOPE	NO_EXPLICIT_CONTRADICTORY_CONTEXT_DETECTED	1	"[""R001|results|0045""]"	"[""S001""]"	"[""1""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""6165""]"		Retained for later governed analysis; no final intent, cluster, page or IA assignment made.
NP00052	амулет зла	KEEP_CANDIDATE	KEEP_PLAUSIBLE_BUSINESS_FIT	FROZEN_CLIENT_PRODUCT_TERM_WITHOUT_EXPLICIT_OUT_OF_SCOPE_CONTEXT	DIRECT_OR_PLAUSIBLE_WITHIN_FROZEN_CLIENT_SCOPE	NO_EXPLICIT_CONTRADICTORY_CONTEXT_DETECTED	1	"[""R001|results|0052""]"	"[""S001""]"	"[""1""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""5820""]"		Retained for later governed analysis; no final intent, cluster, page or IA assignment made.
NP00059	бесплатные амулеты	KEEP_CANDIDATE	KEEP_PLAUSIBLE_BUSINESS_FIT	FROZEN_CLIENT_PRODUCT_TERM_WITHOUT_EXPLICIT_OUT_OF_SCOPE_CONTEXT	DIRECT_OR_PLAUSIBLE_WITHIN_FROZEN_CLIENT_SCOPE	NO_EXPLICIT_CONTRADICTORY_CONTEXT_DETECTED	1	"[""R001|results|0059""]"	"[""S001""]"	"[""1""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""5103""]"		Retained for later governed analysis; no final intent, cluster, page or IA assignment made.
