normalized_phrase_id	canonical_phrase	sanitation_state	sanitation_reason_code	sanitation_rule	business_fit_state	ambiguity_state	raw_occurrence_count	all_raw_occurrence_ids	seed_ids	run_orders	provider_request_ids	observed_count_values	implicit_duplicate_group_id	notes
NP00001	амулет	KEEP_CANDIDATE	KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	FULL_VOLUME_RULE_ONLY_CORRECTION::FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	DIRECT_OR_PLAUSIBLE_WITHIN_FROZEN_CLIENT_SCOPE	NO_MATERIAL_CONTRADICTORY_CONTEXT_AT_SANITATION_STAGE	7	"[""R001|results|0001"",""R002|associations|0005"",""R003|associations|0003"",""R005|associations|0002"",""R056|associations|0002"",""R058|associations|0003"",""R068|associations|0002""]"	"[""S001"",""S002"",""S003"",""S005"",""Q008"",""Q010"",""U001""]"	"[""1"",""2"",""3"",""5"",""56"",""58"",""68""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070"",""wordstat-59d28ae6-a727-400c-8cb4-9a9e6ca352a0"",""wordstat-7fa06c3d-a03c-4daa-a1ab-a33c7583d2e6"",""wordstat-9abdd468-6be0-4488-87b0-1ef4e0c00eec"",""wordstat-7c93faaa-4e04-4aa9-a1e7-48adcf84e7d8"",""wordstat-b97c3933-0ff9-41b4-9837-0694f0afdbc4"",""wordstat-3515351f-1a9b-426b-91c2-860e7b3d8185""]"	"[""478857"",""478463""]"		Corrected Step03B current authority; retained for later governed intent/SERP analysis.
NP00024	где амулет	KEEP_CANDIDATE	KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	FULL_VOLUME_RULE_ONLY_CORRECTION::FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	DIRECT_OR_PLAUSIBLE_WITHIN_FROZEN_CLIENT_SCOPE	NO_MATERIAL_CONTRADICTORY_CONTEXT_AT_SANITATION_STAGE	1	"[""R001|results|0024""]"	"[""S001""]"	"[""1""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""14808""]"		Corrected Step03B current authority; retained for later governed intent/SERP analysis.
NP00025	какой амулет	KEEP_CANDIDATE	KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	FULL_VOLUME_RULE_ONLY_CORRECTION::FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	DIRECT_OR_PLAUSIBLE_WITHIN_FROZEN_CLIENT_SCOPE	NO_MATERIAL_CONTRADICTORY_CONTEXT_AT_SANITATION_STAGE	1	"[""R001|results|0025""]"	"[""S001""]"	"[""1""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""13095""]"		Corrected Step03B current authority; retained for later governed intent/SERP analysis.
NP00029	купить амулет	KEEP_CANDIDATE	KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	FULL_VOLUME_RULE_ONLY_CORRECTION::FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	DIRECT_OR_PLAUSIBLE_WITHIN_FROZEN_CLIENT_SCOPE	NO_MATERIAL_CONTRADICTORY_CONTEXT_AT_SANITATION_STAGE	1	"[""R001|results|0029""]"	"[""S001""]"	"[""1""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""12350""]"		Corrected Step03B current authority; retained for later governed intent/SERP analysis.
NP00033	амулет 2	KEEP_CANDIDATE	KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	FULL_VOLUME_RULE_ONLY_CORRECTION::FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	DIRECT_OR_PLAUSIBLE_WITHIN_FROZEN_CLIENT_SCOPE	NO_MATERIAL_CONTRADICTORY_CONTEXT_AT_SANITATION_STAGE	1	"[""R001|results|0033""]"	"[""S001""]"	"[""1""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""9711""]"		Corrected Step03B current authority; retained for later governed intent/SERP analysis.
NP00044	амулет 1	KEEP_CANDIDATE	KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	FULL_VOLUME_RULE_ONLY_CORRECTION::FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	DIRECT_OR_PLAUSIBLE_WITHIN_FROZEN_CLIENT_SCOPE	NO_MATERIAL_CONTRADICTORY_CONTEXT_AT_SANITATION_STAGE	1	"[""R001|results|0044""]"	"[""S001""]"	"[""1""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""6269""]"		Corrected Step03B current authority; retained for later governed intent/SERP analysis.
NP00052	амулет зла	KEEP_CANDIDATE	KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	FULL_VOLUME_RULE_ONLY_CORRECTION::FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	DIRECT_OR_PLAUSIBLE_WITHIN_FROZEN_CLIENT_SCOPE	NO_MATERIAL_CONTRADICTORY_CONTEXT_AT_SANITATION_STAGE	1	"[""R001|results|0052""]"	"[""S001""]"	"[""1""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""5820""]"		Corrected Step03B current authority; retained for later governed intent/SERP analysis.
NP00061	амулет 3	KEEP_CANDIDATE	KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	FULL_VOLUME_RULE_ONLY_CORRECTION::FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	DIRECT_OR_PLAUSIBLE_WITHIN_FROZEN_CLIENT_SCOPE	NO_MATERIAL_CONTRADICTORY_CONTEXT_AT_SANITATION_STAGE	1	"[""R001|results|0061""]"	"[""S001""]"	"[""1""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""4644""]"		Corrected Step03B current authority; retained for later governed intent/SERP analysis.
NP00063	можно амулет	KEEP_CANDIDATE	KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	FULL_VOLUME_RULE_ONLY_CORRECTION::FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	DIRECT_OR_PLAUSIBLE_WITHIN_FROZEN_CLIENT_SCOPE	NO_MATERIAL_CONTRADICTORY_CONTEXT_AT_SANITATION_STAGE	1	"[""R001|results|0063""]"	"[""S001""]"	"[""1""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""4584""]"		Corrected Step03B current authority; retained for later governed intent/SERP analysis.
NP00064	получить амулет	KEEP_CANDIDATE	KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	FULL_VOLUME_RULE_ONLY_CORRECTION::FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	DIRECT_OR_PLAUSIBLE_WITHIN_FROZEN_CLIENT_SCOPE	NO_MATERIAL_CONTRADICTORY_CONTEXT_AT_SANITATION_STAGE	1	"[""R001|results|0064""]"	"[""S001""]"	"[""1""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""4507""]"		Corrected Step03B current authority; retained for later governed intent/SERP analysis.
