competitor_authority_id,canonical_site,scope_policy,authority_status,discovered_urls,eligible_urls,inspected_urls,excluded_urls,inaccessible_urls,redirected_terminal_urls,candidate_yield_urls,no_candidate_urls,unresolved_urls,candidate_identity_count,coverage_reconciliation,terminal_coverage_status,unresolved_reason,started_at_utc,completed_at_utc,notes
S07A001,wildberries.ru,EVIDENCE_ANCHORED_RELEVANT_SUBTREE,AUTHORIZED_STEP06,23,23,1,0,22,0,1,0,0,43,23=1+0+22+0+0,COMPLETE_WITH_INACCESSIBLE_EVIDENCE,INACCESSIBLE_CAPTCHA_OR_ANTI_BOT=22; target content unavailable; no bypass attempted.,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=23; inspected_target_content=1; inaccessible=22; raw page evidence unchanged.
S07A002,ozon.ru,EVIDENCE_ANCHORED_RELEVANT_SUBTREE,AUTHORIZED_STEP06,27,27,0,0,27,0,0,0,0,0,27=0+0+27+0+0,COMPLETE_WITH_INACCESSIBLE_EVIDENCE,INACCESSIBLE_TIMEOUT_OR_NETWORK=27; target content unavailable; no bypass attempted.,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; 27/27 stored Ozon records corrected from inspected/redirected labels to network/VPN failure-shell inaccessible truth; raw page evidence unchanged; no bypass attempted.
S07A003,market.yandex.ru,EVIDENCE_ANCHORED_RELEVANT_SUBTREE,AUTHORIZED_STEP06,23,20,20,3,0,0,18,2,0,18,23=20+3+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=23; inspected_target_content=20; inaccessible=0; raw page evidence unchanged.
S07A004,livemaster.ru,EVIDENCE_ANCHORED_RELEVANT_SUBTREE,AUTHORIZED_STEP06,11,11,11,0,0,0,11,0,0,415,11=11+0+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=11; inspected_target_content=11; inaccessible=0; raw page evidence unchanged.
S07A005,avito.ru,EVIDENCE_ANCHORED_RELEVANT_SUBTREE,AUTHORIZED_STEP06,10,8,8,2,0,0,8,0,0,258,10=8+2+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=10; inspected_target_content=8; inaccessible=0; raw page evidence unchanged.
S07A006,aliexpress.ru,EVIDENCE_ANCHORED_RELEVANT_SUBTREE,AUTHORIZED_STEP06,2,2,0,0,2,0,0,0,0,0,2=0+0+2+0+0,COMPLETE_WITH_INACCESSIBLE_EVIDENCE,INACCESSIBLE_CAPTCHA_OR_ANTI_BOT=2; target content unavailable; no bypass attempted.,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=2; inspected_target_content=0; inaccessible=2; raw page evidence unchanged.
S07A007,joom.ru,EVIDENCE_ANCHORED_RELEVANT_SUBTREE,AUTHORIZED_STEP06,2,2,2,0,0,0,1,1,0,8,2=2+0+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=2; inspected_target_content=2; inaccessible=0; raw page evidence unchanged.
S07A008,ru.wikipedia.org,EVIDENCE_ANCHORED_RELEVANT_SUBTREE,AUTHORIZED_STEP06,20,17,17,3,0,0,15,2,0,77,20=17+3+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=20; inspected_target_content=17; inaccessible=0; raw page evidence unchanged.
S07A009,ru.ruwiki.ru,EVIDENCE_ANCHORED_RELEVANT_SUBTREE,AUTHORIZED_STEP06,10,8,8,2,0,0,6,2,0,10,10=8+2+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=10; inspected_target_content=8; inaccessible=0; raw page evidence unchanged.
S07A010,kartaslov.ru,EVIDENCE_ANCHORED_RELEVANT_SUBTREE,AUTHORIZED_STEP06,1766,552,260,1214,0,292,59,201,0,846,1766=260+1214+0+292+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=1766; inspected_target_content=260; inaccessible=0; raw page evidence unchanged.
S07A011,ru.wiktionary.org,EVIDENCE_ANCHORED_RELEVANT_SUBTREE,AUTHORIZED_STEP06,5,4,4,1,0,0,4,0,0,8,5=4+1+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=5; inspected_target_content=4; inaccessible=0; raw page evidence unchanged.
S07A012,znanierussia.ru,EVIDENCE_ANCHORED_RELEVANT_SUBTREE,AUTHORIZED_STEP06,3,3,3,0,0,0,3,0,0,8,3=3+0+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=3; inspected_target_content=3; inaccessible=0; raw page evidence unchanged.
S07A013,sibpodkova.ru,THEME_SCOPED_PUBLIC_TAXONOMY,AUTHORIZED_STEP06,4,4,4,0,0,0,4,0,0,7,4=4+0+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=4; inspected_target_content=4; inaccessible=0; raw page evidence unchanged.
S07A014,artvaza.ru,THEME_SCOPED_PUBLIC_TAXONOMY,AUTHORIZED_STEP06,13,13,13,0,0,0,12,1,0,12,13=13+0+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=13; inspected_target_content=13; inaccessible=0; raw page evidence unchanged.
S07A015,radugakamnya.ru,THEME_SCOPED_PUBLIC_TAXONOMY,AUTHORIZED_STEP06,4,4,4,0,0,0,4,0,0,4,4=4+0+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=4; inspected_target_content=4; inaccessible=0; raw page evidence unchanged.
S07A016,tet-estet.ru,THEME_SCOPED_PUBLIC_TAXONOMY,AUTHORIZED_STEP06,3,3,3,0,0,0,3,0,0,3,3=3+0+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=3; inspected_target_content=3; inaccessible=0; raw page evidence unchanged.
