feedback_id	source_family_ids	feedback_type	affected_current_state	affected_reason_codes	normalized_identity_count	raw_occurrence_count	deterministic_selector	representative_phrases	finding	recommended_step03b_review	step03b_state_changed_in_step04	blocking_for_step04
PSFB001	PSF015	POSSIBLE_UNDER_EXCLUSION	HOLD	"[""HOLD_INSUFFICIENT_CONTEXT_FOR_KEEP_OR_EXCLUDE"",""HOLD_ZODIAC_OR_STONE_PRODUCT_COLLISION""]"	715	753	source=PSF015;state_scope=HOLD	"[""водолей какой знак"",""козерог какой знак"",""знак зодиака рожден"",""знак зодиака сегодня"",""знак зодиака на завтра"",""знаки зодиака по годам""]"	Зодиакальная информация/meaning-task сохранена в HOLD.	Отдельно проверять класс позднее; Step03B здесь не менять.	NO	NO_GOVERNED_FEEDBACK
PSFB002	PSF018	MEDIA_REFERENT_BOUNDARY	HOLD+KEEP	"[""HOLD_FROZEN_CATALOG_NAME_REFERENT_UNRESOLVED"",""HOLD_GENERIC_MEDIA_ACTION_MAY_BE_INFORMATIONAL_PRODUCT_RESEARCH"",""HOLD_INSUFFICIENT_CONTEXT_FOR_KEEP_OR_EXCLUDE"",""HOLD_MEDIA_TITLE_VERSUS_PRODUCT_COLLISION"",""HOLD_TITLE_LIKE_PRODUCT_WORD_COLLISION"",""HOLD_ZODIAC_OR_STONE_PRODUCT_COLLISION"",""KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT""]"	596	606	source=PSF018;state_scope=ALL	"[""четки автор"",""четки видео"",""четки порно"",""амулет видео"",""амулет порно"",""оберег видео""]"	Media/title/digital members имеют разную силу referent evidence.	Позднее разделять explicit media и generic action без token verdict.	NO	NO_GOVERNED_FEEDBACK
PSFB003	PSF019	BOUNDED_GAME_REFERENT_BOUNDARY	HOLD+KEEP	"[""HOLD_FROZEN_CATALOG_NAME_REFERENT_UNRESOLVED"",""HOLD_GENERIC_GAME_OR_MODEL_TOKEN_NEEDS_CONTEXT"",""HOLD_GENERIC_MEDIA_ACTION_MAY_BE_INFORMATIONAL_PRODUCT_RESEARCH"",""HOLD_INSUFFICIENT_CONTEXT_FOR_KEEP_OR_EXCLUDE"",""HOLD_TITLE_LIKE_PRODUCT_WORD_COLLISION"",""KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT""]"	88	89	source=PSF019;state_scope=ALL	"[""талисманов играть"",""талисман летних игр"",""талисманом каких игр"",""талисман в майнкрафте"",""талисман игр 2014 года"",""где найти амулет террарии""]"	Только legitimate bounded game/model ambiguity; `игруш*` исключён из selector.	Проверять named-game proof; не восстанавливать broad `игр*`.	NO	NO_GOVERNED_FEEDBACK
PSFB004	PSF020	AUTOMOTIVE_COLLISION_BOUNDARY	HOLD+KEEP	"[""HOLD_AUTOMOBILE_USE_WITHOUT_SUPPORTED_PRODUCT_NOUN"",""HOLD_CATALOG_NAME_VERSUS_VEHICLE_COLLISION"",""HOLD_FROZEN_CATALOG_NAME_REFERENT_UNRESOLVED"",""HOLD_INSUFFICIENT_CONTEXT_FOR_KEEP_OR_EXCLUDE"",""HOLD_PRODUCT_NAME_VERSUS_VEHICLE_PAINT_COLLISION"",""KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT""]"	57	76	source=PSF020;state_scope=ALL	"[""оберег краска"",""тормозные колодки амулет"",""дав авто"",""драйв авто"",""звезда лада"",""воск для авто""]"	Use-case, модель, деталь и краска пересекаются.	Сохранить car-use guards перед destructive vehicle rule.	NO	NO_GOVERNED_FEEDBACK
PSFB005	PSF021	ENTITY_COLLISION_BOUNDARY	HOLD+KEEP	"[""HOLD_FROZEN_CATALOG_NAME_REFERENT_UNRESOLVED"",""HOLD_GENERIC_TEAM_OR_MASCOT_CONTEXT"",""HOLD_PRODUCT_OR_CATALOG_NAME_WITH_PERSON_ENTITY_CONTEXT"",""HOLD_PRODUCT_OR_CATALOG_NAME_WITH_PLACE_OR_ORGANIZATION"",""HOLD_SEARCH_PLATFORM_OR_MEDIA_CONTEXT_UNRESOLVED"",""KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT""]"	168	168	source=PSF021;state_scope=ALL	"[""талисман фк"",""завод оберег"",""обереги инны"",""амулет не заводится"",""фк знич"",""инн оберег""]"	Place/person/organization/platform/team collisions сохраняют неоднозначность.	Требовать bounded entity proof.	NO	NO_GOVERNED_FEEDBACK
PSFB006	PSF022	ROSARY_MORPHOLOGY_BOUNDARY	HOLD	"[""HOLD_POSSIBLE_ROSARY_MORPHOLOGY_OR_TYPO""]"	33	33	source=PSF022;state_scope=HOLD	"[""четков"",""кс четка"",""ни четка"",""четка сон"",""гора четка"",""четка брат""]"	33 morphology/typo identities остаются governed uncertainty.	Не восстанавливать broad `четк*` exclusion.	NO	NO_GOVERNED_FEEDBACK
PSFB007	PSF005	POSSIBLE_OVER_HOLD	HOLD	"[""HOLD_FROZEN_CATALOG_NAME_REFERENT_UNRESOLVED""]"	132	134	source=PSF005;state_scope=HOLD	"[""знич купить"",""алатырь цена"",""гунгнир цена"",""озон алатырь"",""семаргл озон"",""оберегает чур""]"	Catalog name + qualifier остаётся referentially ambiguous для части HOLD.	Проверить поздним evidence без Step03B mutation.	NO	NO_GOVERNED_FEEDBACK
PSFB008	PSF017	RELIGIOUS_PRODUCT_BOUNDARY	HOLD+KEEP	"[""HOLD_CATALOG_PRODUCT_NAME_VERSUS_RELIGIOUS_TEXT"",""HOLD_FROZEN_CATALOG_NAME_REFERENT_UNRESOLVED"",""HOLD_INSUFFICIENT_CONTEXT_FOR_KEEP_OR_EXCLUDE"",""HOLD_PHYSICAL_PRODUCT_VERSUS_RELIGIOUS_PRACTICE"",""KEEP_FROZEN_CATALOG_NAME_WITH_COMMERCE_OR_OBJECT_FORM"",""KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT""]"	234	236	source=PSF017;state_scope=ALL	"[""святые четки"",""святые амулеты"",""святые обереги"",""богородица четки"",""буддийские четки"",""талисман святого""]"	Physical object, text и practice пересекаются.	Сначала owner fact; ни один prayer token не достаточен.	NO	NO_GOVERNED_FEEDBACK
PSFB009	PSF024	RESIDUAL_LEXICAL_OR_REFERENT_GAP	HOLD	"[""HOLD_INSUFFICIENT_CONTEXT_FOR_KEEP_OR_EXCLUDE""]"	708	855	source=PSF024;state_scope=HOLD	"[""car"",""ugn"",""v i"",""бес"",""дзе"",""екб""]"	Residual/noise quarantine не разрешается частотностью.	Проверить полный residual class позднее.	NO	NO_GOVERNED_FEEDBACK
PSFB010	PSF011	EFFECT_OR_AUDIENCE_CLAIM_BOUNDARY	HOLD+KEEP	"[""HOLD_INSUFFICIENT_CONTEXT_FOR_KEEP_OR_EXCLUDE"",""KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT""]"	151	165	source=PSF011;state_scope=ALL	"[""амулет защиты"",""амулет женщина"",""амулет ребенку"",""талисман удачи"",""амулет здоровья"",""амулет на удачу""]"	Effect/audience language не подтверждает эффект.	Сохранить claim boundary.	NO	NO_GOVERNED_FEEDBACK
