reason_code	current_rows	confirmed_exclusions	confirmed_without_rule_defect	same_outcome_but_rule_defect	false_exclusions_to_keep	false_exclusions_to_hold	unresolved	estimated_precision	raw_current_occurrences	raw_confirmed_exclusions	raw_false_exclusions_to_keep	raw_false_exclusions_to_hold	raw_unresolved	raw_estimated_precision	systematic_defect	defective_rules	example_confirmed	example_to_keep	example_to_hold	safe_unchanged
EXCLUDE_EXPLICIT_ASTROLOGY_INFORMATION	2219	1901	1901	0	4	314	0	0.856692	2669	2320	4	345	0	0.869239	YES	"[""ASTROLOGY_RULE_PRECEDES_ZODIAC_PRODUCT_COLLISION_RESOLUTION""]"	"[""оберегает по дате рождения"", ""звезда в созвездии льва"", ""звездные созвездия"", ""какой знак зодиака"", ""гороскоп по знакам зодиака""]"	"[""кулон дева знак зодиака с камнем"", ""лев знак зодиака камень для мужчин купить"", ""камень для знака зодиака рыбы браслет"", ""телец знак зодиака женщина подвеска""]"	"[""камни по знаку зодиака"", ""подходящие камни по знаку зодиака"", ""знаки зодиака камни подходят женщинам"", ""камень по знакам зодиака для женщин"", ""какие камни подходят знакам зодиака""]"	NO
EXCLUDE_EXPLICIT_FOREIGN_ENTITY	74	38	26	12	0	36	0	0.513514	75	39	0	36	0	0.520000	YES	"[""SPORT_STEM_FUTBOL_MATCHES_FUTBOLKA""]"	"[""талисман футбола"", ""талисман чемпионата"", ""талисманы олимпиады"", ""талисманы чемпионата мира"", ""талисманы чемпионатов по футболу"", ""футболка оберег"", ""мини футболка талисман криштиану роналду в машину"", ""футболка валькнут"", ""футболка на валберис восьмилучевой коловрат и валькнут"", ""футболка на озон восьмилучевой коловрат и валькнут""]"	[]	"[""талисман команды"", ""какие талисман команды"", ""сколько лет алатырю"", ""футболисты стрельцы по знаку зодиака"", ""у каких футболистов знак зодиака стрелец""]"	NO
EXCLUDE_EXPLICIT_GAME	242	204	204	0	0	38	0	0.842975	246	207	0	39	0	0.841463	YES	"[""GENERIC_GAME_OR_MOD_STEM_USED_WITHOUT_SUFFICIENT_CONTEXT""]"	"[""террария амулеты"", ""амулеты скайрим"", ""амулет лавы террария"", ""капхед амулет"", ""амулет майнкрафт""]"	[]	"[""амулет игра"", ""мод на амулеты"", ""амулеты id"", ""мод на амулеты кольца"", ""игра оберег""]"	NO
EXCLUDE_EXPLICIT_MEDIA	1667	1385	1359	26	0	282	0	0.830834	1682	1395	0	287	0	0.829370	YES	"[""GENERIC_MEDIA_ACTION_USED_WITHOUT_SUFFICIENT_CONTEXT""]"	"[""счастливый амулет глава"", ""и город перестал дышать счастливый амулет глава"", ""рассказ амулет"", ""счастливый амулет рассказы"", ""амулет дзен читать"", ""счастливый амулет читать"", ""читать на на дзене счастливый амулет"", ""счастливый амулет читать яндекс"", ""читать канал счастливый амулет"", ""счастливый амулет навигация по каналу читать""]"	[]	"[""амулет читать"", ""амулет на дзене читать"", ""астрал амулет"", ""астрал амулет зла"", ""астрал амулет зла 2025""]"	NO
EXCLUDE_EXPLICIT_ORGANIZATION	9	8	7	1	0	1	0	0.888889	9	8	0	1	0	0.888889	YES	"[""ORGANIZATION_STEM_OR_ORDER_MISCLASSIFIES_BANK_CARD_OR_MEDIA""]"	"[""ооо вега"", ""банки алатыря"", ""школы в алатыре"", ""сайты школ алатыря"", ""аума официальный сайт"", ""наклейка на банковскую карту знак зодиака стрелец""]"	[]	"[""как любить знак зодиака рыбы яндекс дзен""]"	NO
EXCLUDE_EXPLICIT_PERSON	23	23	23	0	0	0	0	1.000000	23	23	0	0	0	1.000000	NO	[]	"[""у каких блогеров знак зодиака стрелец"", ""у кого из блогеров знак зодиака стрелец"", ""блогеры со знаком зодиака стрелец"", ""у какого популярного блогера знак зодиака стрелец"", ""у каких русских блогеров знак зодиака стрелец""]"	[]	[]	YES
EXCLUDE_EXPLICIT_PLACE	340	320	320	0	8	12	0	0.941176	340	320	8	12	0	0.941176	YES	"[""BUY_DOT_STAR_HOME_CONFUSES_HOME_PRODUCT_WITH_REAL_ESTATE""]"	"[""домовой как задобрить в квартире чтобы оберегал"", ""талисман купить квартиру"", ""обложка на студенческий билет валькнут"", ""капище чернобога пермь"", ""погода в алатыре""]"	"[""амулет авито"", ""купить амулет на авито"", ""оберег дома купить"", ""авито обереги"", ""оберег домовой купить""]"	"[""счастливый амулет счастливый билет"", ""счастливый амулет билет в счастливую жизнь"", ""счастливый амулет билет в новую"", ""билет в новую жизнь счастливый амулет"", ""обереги для квартиры""]"	NO
EXCLUDE_EXPLICIT_RELIGIOUS_PRACTICE	120	120	120	0	0	0	0	1.000000	127	127	0	0	0	1.000000	NO	[]	"[""молитва оберегающая"", ""сильные оберегающие молитвы"", ""оберегающие иконы"", ""оберегающая молитва материнская сильная"", ""молитва оберегающая сыновей""]"	[]	[]	YES
EXCLUDE_EXPLICIT_VEHICLE_OR_MODEL	554	525	524	1	2	27	0	0.947653	562	530	2	30	0	0.943060	YES	"[""VEHICLE_BRAND_PRECEDES_FROZEN_CATALOG_NAME_COLLISION""]"	"[""чери амулет"", ""чере амулет"", ""амулет а15"", ""чери амулет а15"", ""амулет черри"", ""диски звезда лада калина""]"	"[""четки в машину знак lada"", ""звезда лада купить""]"	"[""краска зеленый амулет"", ""зеленая краска 371 амулет"", ""оберег звезда лада"", ""звезда лада значение оберега"", ""звезда лада славянский оберег""]"	NO
EXCLUDE_LEXICAL_GARBAGE	1225	1191	1191	0	0	34	0	0.972245	1229	1195	0	34	0	0.972335	YES	"[""CHETK_PREFIX_CONFUSES_POSSIBLE_ROSARY_FORM_OR_TYPO""]"	"[""четко"", ""четкий контур"", ""какая четкая"", ""четкий ответ"", ""ровный четкий""]"	[]	"[""текст четка"", ""четка школа"", ""четка тела"", ""четка матка"", ""четка там четка""]"	NO
