failure_class	applicable_to_current_step	regression_test	result	blocking_if_fail	evidence
F00_SOURCE_SCOPE_FREEZE	YES	Ozon-only client authority; zero WB active rows; sealed sources absent	PASS	YES	All inputs are named frozen job authorities.
F02_CATALOG_IS_NOT_SEARCH_QUALITY	YES	Catalog names are lineage only; family/gap uncertainty remains explicit	PASS	YES	No product title is promoted to final demand/page truth.
F03_PROVIDER_SUCCESS_IS_NOT_COMPLETION	YES	Use accepted 79/79 durable Step03A lineage; make zero calls	PASS	YES	25,979 occurrence links read from durable ledger.
F03A_NORMALIZATION_SAFETY	YES	Verify exact Step03A SHA-256 and 25,979 unique occurrence ids	PASS	YES	Step03A files are read-only and unchanged.
F03B-1_BROAD_REGEX_COLLISION	YES	Corrected state/reason only; bounded family contexts; collision families visible	PASS	YES	No family result changes Step03B state; bounded assertions cover королева/лев, тракт/рак, тигра/игра, богородица/город, раскраска/краска and звезды Лады/catalog.
F03B-2_POSITIVE_TOKEN_FALLBACK	YES	Media/game/vehicle/entity collisions outrank generic product grouping for KEEP and HOLD without changing Step03B state	PASS	YES	Explicit foreign-context signals remain visible in mixed/feedback families.
F03B-3_ACCOUNTING_VS_SEMANTIC_QA	YES	Full family coherence/boundary scans plus historical and collision examples	PASS	YES	"{""ACTIVE_ROWS_ASSIGNED_TO_EXCLUDED_MARKER"":0,""EXCLUDED_ROWS_ASSIGNED_ACTIVE_FAMILY"":0,""HOLD_WITH_FINAL_NONE_EVIDENCE"":0,""FREQUENCY_USED_FOR_ASSIGNMENT"":0,""STRONG_FAMILY_HOLD_SHARE_OVER_20_PERCENT"":0,""COVERAGE_GAP_WITH_OBSERVED_IDENTITIES"":0,""OBSERVED_FAMILY_WITHOUT_EXAMPLES"":0,""QUEUE_EXECUTED_ROWS"":0,""FEEDBACK_STATE_MUTATIONS"":0,""GENERIC_PRODUCT_FAMILY_WITH_FOREIGN_COLLISION_SIGNAL"":0,""COMMERCIAL_FAMILY_WITH_FOREIGN_COLLISION_SIGNAL"":0,""STRONG_AUTO_FAMILY_WITH_GAME_MEDIA_ENTITY_SIGNAL"":0,""OBSERVED_FEEDBACK_FAMILY_WITHOUT_FEEDBACK_ROW"":0}"
F03B-4_AMBIGUITY_PRESERVATION	YES	All 13,035 HOLD identities remain HOLD with later evidence route	PASS	YES	No HOLD to KEEP/EXCLUDE conversion.
F04-1_OCCURRENCE_REPRODUCIBILITY	YES	25,979 unique occurrence ids; zero unassigned/duplicate; family totals reconcile	PASS	YES	Complete deterministic occurrence ledger materialized.
F04-2_RULE_LEVEL_RERUN	YES	assign_family applied once to all 18,135 active/HOLD identities	PASS	YES	Known examples are assertions, never patch conditions.
F04-3_UPSTREAM_INVALIDATION	YES	Corrected Step03B is sole current sanitation authority; history joined after assignment	PASS	YES	Historical files are comparison only.
FREQUENCY_BIAS	YES	Classifier does not read raw_count/observed_count_values	PASS	YES	Frequency retained descriptively in occurrence output only.
SEALED_SOURCE_CONTAMINATION	YES	Only canonical-prompt whitelist files read	PASS	YES	Zero sealed historical research inputs.
PROVIDER_CONTAMINATION	YES	No Wordstat/Search/GenSearch/AI-search operation exists	PASS	YES	All provider-call counters remain zero.
SCOPE_CREEP	YES	No final row cleanup/intent/SERP cluster/page/IA fields or actions	PASS	YES	Step05 remains false and blocked.
