normalized_phrase_id	canonical_phrase	step03b_state	step03b_reason	raw_occurrence_count	old_step04_family	w08_candidate_family	w09_current_family	w09_assignment_reason	w09_specificity_priority	all_material_signals	old_to_w09_changed	w08_to_w09_changed	transition_class	w07_fixture_disposition	step03b_mutated
NP00001	амулет	KEEP	KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	7	PSF001	PSF001	PSF001	BROAD_GENERIC_PRODUCT_FALLBACK	590	TOPIC_PRODUCT|UPSTREAM_STEP03B_KEEP	NO	NO	UNCHANGED_FROM_W08_CANDIDATE	PASS_AS_PRELIMINARY_FAMILY	NO
NP00002	счастливый амулет	HOLD	HOLD_TITLE_LIKE_PRODUCT_WORD_COLLISION	2	PSF018	PSF018	PSF018	UPSTREAM_TITLE_COLLISION	1210	TASK_EFFECT_AUDIENCE|TASK_MEDIA_DIGITAL|TOPIC_PRODUCT|UPSTREAM_STEP03B_HOLD|UPSTREAM_TITLE_COLLISION	NO	NO	UNCHANGED_FROM_W08_CANDIDATE	PASS_AS_PRELIMINARY_FAMILY	NO
NP00003	амулет дзене	HOLD	HOLD_TITLE_LIKE_PRODUCT_WORD_COLLISION	1	PSF018	PSF018	PSF018	UPSTREAM_TITLE_COLLISION	1210	TOPIC_PRODUCT|UPSTREAM_STEP03B_HOLD|UPSTREAM_TITLE_COLLISION	NO	NO	UNCHANGED_FROM_W08_CANDIDATE	PASS_AS_PRELIMINARY_FAMILY	NO
NP00004	амулет дзен	HOLD	HOLD_TITLE_LIKE_PRODUCT_WORD_COLLISION	1	PSF018	PSF018	PSF018	UPSTREAM_TITLE_COLLISION	1210	TASK_MEDIA_DIGITAL|TOPIC_PRODUCT|UPSTREAM_STEP03B_HOLD|UPSTREAM_TITLE_COLLISION	NO	NO	UNCHANGED_FROM_W08_CANDIDATE	PASS_AS_PRELIMINARY_FAMILY	NO
NP00005	счастливый амулет дзен	HOLD	HOLD_TITLE_LIKE_PRODUCT_WORD_COLLISION	2	PSF018	PSF018	PSF018	UPSTREAM_TITLE_COLLISION	1210	TASK_EFFECT_AUDIENCE|TASK_MEDIA_DIGITAL|TOPIC_PRODUCT|UPSTREAM_STEP03B_HOLD|UPSTREAM_TITLE_COLLISION	NO	NO	UNCHANGED_FROM_W08_CANDIDATE	PASS_AS_PRELIMINARY_FAMILY	NO
NP00006	чери амулет	EXCLUDE	EXCLUDE_EXPLICIT_VEHICLE_MODEL_OR_PART_CONTEXT	1	NOT_IN_STEP04_SEMANTIC_SCOPE	NOT_IN_STEP04_SEMANTIC_SCOPE	NOT_IN_STEP04_SEMANTIC_SCOPE	STEP03B_EXCLUDE_HISTORY_PRESERVED_WITHOUT_RETRIAGE	9999	UPSTREAM_STEP03B_EXCLUDE	NO	NO	EXCLUDE_HISTORY_UNCHANGED	PASS_AS_PRELIMINARY_FAMILY	NO
NP00007	чере амулет	EXCLUDE	EXCLUDE_EXPLICIT_VEHICLE_BRAND_OR_MODEL_CONTEXT	1	NOT_IN_STEP04_SEMANTIC_SCOPE	NOT_IN_STEP04_SEMANTIC_SCOPE	NOT_IN_STEP04_SEMANTIC_SCOPE	STEP03B_EXCLUDE_HISTORY_PRESERVED_WITHOUT_RETRIAGE	9999	UPSTREAM_STEP03B_EXCLUDE	NO	NO	EXCLUDE_HISTORY_UNCHANGED	PASS_AS_PRELIMINARY_FAMILY	NO
NP00008	амулет город	HOLD	HOLD_PRODUCT_OR_CATALOG_NAME_WITH_PLACE_OR_ORGANIZATION	1	PSF021	PSF021	PSF021	UPSTREAM_PLACE_OR_ORGANIZATION_COLLISION	1190	CONTEXT_ENTITY|TOPIC_PRODUCT|UPSTREAM_PLACE_OR_ORGANIZATION_COLLISION|UPSTREAM_STEP03B_HOLD	NO	NO	UNCHANGED_FROM_W08_CANDIDATE	PASS_AS_PRELIMINARY_FAMILY	NO
NP00009	счастливый амулет и город	HOLD	HOLD_PRODUCT_OR_CATALOG_NAME_WITH_PLACE_OR_ORGANIZATION	1	PSF021	PSF021	PSF018	EXPLICIT_MEDIA_OR_DIGITAL_TASK	1210	CONTEXT_ENTITY|TASK_EFFECT_AUDIENCE|TASK_MEDIA_DIGITAL|TOPIC_PRODUCT|UPSTREAM_PLACE_OR_ORGANIZATION_COLLISION|UPSTREAM_STEP03B_HOLD	YES	YES	W09_UNIVERSAL_SPECIFICITY_PRECEDENCE_REROUTE	PASS_AS_PRELIMINARY_FAMILY	NO
NP00010	счастливый амулет и город перестал	HOLD	HOLD_PRODUCT_OR_CATALOG_NAME_WITH_PLACE_OR_ORGANIZATION	1	PSF021	PSF021	PSF018	EXPLICIT_MEDIA_OR_DIGITAL_TASK	1210	CONTEXT_ENTITY|TASK_EFFECT_AUDIENCE|TASK_MEDIA_DIGITAL|TOPIC_PRODUCT|UPSTREAM_PLACE_OR_ORGANIZATION_COLLISION|UPSTREAM_STEP03B_HOLD	YES	YES	W09_UNIVERSAL_SPECIFICITY_PRECEDENCE_REROUTE	PASS_AS_PRELIMINARY_FAMILY	NO
NP00011	счастливый амулет и город перестал дышать	HOLD	HOLD_PRODUCT_OR_CATALOG_NAME_WITH_PLACE_OR_ORGANIZATION	1	PSF021	PSF021	PSF018	EXPLICIT_MEDIA_OR_DIGITAL_TASK	1210	CONTEXT_ENTITY|TASK_EFFECT_AUDIENCE|TASK_MEDIA_DIGITAL|TOPIC_PRODUCT|UPSTREAM_PLACE_OR_ORGANIZATION_COLLISION|UPSTREAM_STEP03B_HOLD	YES	YES	W09_UNIVERSAL_SPECIFICITY_PRECEDENCE_REROUTE	PASS_AS_PRELIMINARY_FAMILY	NO
NP00012	счастливый амулет глава	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	1	NOT_IN_STEP04_SEMANTIC_SCOPE	NOT_IN_STEP04_SEMANTIC_SCOPE	NOT_IN_STEP04_SEMANTIC_SCOPE	STEP03B_EXCLUDE_HISTORY_PRESERVED_WITHOUT_RETRIAGE	9999	UPSTREAM_STEP03B_EXCLUDE	NO	NO	EXCLUDE_HISTORY_UNCHANGED	PASS_AS_PRELIMINARY_FAMILY	NO
NP00013	и город перестал дышать счастливый амулет глава	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	1	NOT_IN_STEP04_SEMANTIC_SCOPE	NOT_IN_STEP04_SEMANTIC_SCOPE	NOT_IN_STEP04_SEMANTIC_SCOPE	STEP03B_EXCLUDE_HISTORY_PRESERVED_WITHOUT_RETRIAGE	9999	UPSTREAM_STEP03B_EXCLUDE	NO	NO	EXCLUDE_HISTORY_UNCHANGED	PASS_AS_PRELIMINARY_FAMILY	NO
NP00014	яндекс амулет	HOLD	HOLD_SEARCH_PLATFORM_OR_MEDIA_CONTEXT_UNRESOLVED	1	PSF021	PSF021	PSF021	UPSTREAM_PLATFORM_COLLISION	1190	TOPIC_PRODUCT|UPSTREAM_PLATFORM_COLLISION|UPSTREAM_STEP03B_HOLD	NO	NO	UNCHANGED_FROM_W08_CANDIDATE	PASS_AS_PRELIMINARY_FAMILY	NO
NP00015	счастливый амулет яндекс	HOLD	HOLD_TITLE_LIKE_PRODUCT_WORD_COLLISION	1	PSF018	PSF018	PSF018	UPSTREAM_TITLE_COLLISION	1210	TASK_EFFECT_AUDIENCE|TASK_MEDIA_DIGITAL|TOPIC_PRODUCT|UPSTREAM_STEP03B_HOLD|UPSTREAM_TITLE_COLLISION	NO	NO	UNCHANGED_FROM_W08_CANDIDATE	PASS_AS_PRELIMINARY_FAMILY	NO
NP00016	амулет яндекс дзен	HOLD	HOLD_SEARCH_PLATFORM_OR_MEDIA_CONTEXT_UNRESOLVED	1	PSF021	PSF021	PSF018	EXPLICIT_MEDIA_OR_DIGITAL_TASK	1210	TASK_MEDIA_DIGITAL|TOPIC_PRODUCT|UPSTREAM_PLATFORM_COLLISION|UPSTREAM_STEP03B_HOLD	YES	YES	W09_UNIVERSAL_SPECIFICITY_PRECEDENCE_REROUTE	PASS_AS_PRELIMINARY_FAMILY	NO
NP00017	счастливый амулет яндекс дзен	HOLD	HOLD_TITLE_LIKE_PRODUCT_WORD_COLLISION	1	PSF018	PSF018	PSF018	UPSTREAM_TITLE_COLLISION	1210	TASK_EFFECT_AUDIENCE|TASK_MEDIA_DIGITAL|TOPIC_PRODUCT|UPSTREAM_STEP03B_HOLD|UPSTREAM_TITLE_COLLISION	NO	NO	UNCHANGED_FROM_W08_CANDIDATE	PASS_AS_PRELIMINARY_FAMILY	NO
NP00018	амулет а15	EXCLUDE	EXCLUDE_EXPLICIT_VEHICLE_MODEL_OR_PART_CONTEXT	1	NOT_IN_STEP04_SEMANTIC_SCOPE	NOT_IN_STEP04_SEMANTIC_SCOPE	NOT_IN_STEP04_SEMANTIC_SCOPE	STEP03B_EXCLUDE_HISTORY_PRESERVED_WITHOUT_RETRIAGE	9999	UPSTREAM_STEP03B_EXCLUDE	NO	NO	EXCLUDE_HISTORY_UNCHANGED	PASS_AS_PRELIMINARY_FAMILY	NO
NP00019	чери амулет а15	EXCLUDE	EXCLUDE_EXPLICIT_VEHICLE_MODEL_OR_PART_CONTEXT	3	NOT_IN_STEP04_SEMANTIC_SCOPE	NOT_IN_STEP04_SEMANTIC_SCOPE	NOT_IN_STEP04_SEMANTIC_SCOPE	STEP03B_EXCLUDE_HISTORY_PRESERVED_WITHOUT_RETRIAGE	9999	UPSTREAM_STEP03B_EXCLUDE	NO	NO	EXCLUDE_HISTORY_UNCHANGED	PASS_AS_PRELIMINARY_FAMILY	NO
NP00020	рассказ амулет	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	1	NOT_IN_STEP04_SEMANTIC_SCOPE	NOT_IN_STEP04_SEMANTIC_SCOPE	NOT_IN_STEP04_SEMANTIC_SCOPE	STEP03B_EXCLUDE_HISTORY_PRESERVED_WITHOUT_RETRIAGE	9999	UPSTREAM_STEP03B_EXCLUDE	NO	NO	EXCLUDE_HISTORY_UNCHANGED	PASS_AS_PRELIMINARY_FAMILY	NO
NP00021	счастливый амулет рассказы	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	2	NOT_IN_STEP04_SEMANTIC_SCOPE	NOT_IN_STEP04_SEMANTIC_SCOPE	NOT_IN_STEP04_SEMANTIC_SCOPE	STEP03B_EXCLUDE_HISTORY_PRESERVED_WITHOUT_RETRIAGE	9999	UPSTREAM_STEP03B_EXCLUDE	NO	NO	EXCLUDE_HISTORY_UNCHANGED	PASS_AS_PRELIMINARY_FAMILY	NO
NP00022	амулет читать	HOLD	HOLD_GENERIC_MEDIA_ACTION_MAY_BE_INFORMATIONAL_PRODUCT_RESEARCH	1	PSF018	PSF018	PSF018	UPSTREAM_MEDIA_ACTION_COLLISION	1210	TASK_MEDIA_DIGITAL|TOPIC_PRODUCT|UPSTREAM_MEDIA_ACTION_COLLISION|UPSTREAM_STEP03B_HOLD	NO	NO	UNCHANGED_FROM_W08_CANDIDATE	PASS_AS_PRELIMINARY_FAMILY	NO
NP00023	счастливый амулет читать	EXCLUDE	EXCLUDE_EXPLICIT_DIGITAL_MEDIA_CONSUMPTION_CONTEXT	1	NOT_IN_STEP04_SEMANTIC_SCOPE	NOT_IN_STEP04_SEMANTIC_SCOPE	NOT_IN_STEP04_SEMANTIC_SCOPE	STEP03B_EXCLUDE_HISTORY_PRESERVED_WITHOUT_RETRIAGE	9999	UPSTREAM_STEP03B_EXCLUDE	NO	NO	EXCLUDE_HISTORY_UNCHANGED	PASS_AS_PRELIMINARY_FAMILY	NO
NP00024	где амулет	KEEP	KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	1	PSF001	PSF001	PSF001	BROAD_GENERIC_PRODUCT_FALLBACK	590	TOPIC_PRODUCT|UPSTREAM_STEP03B_KEEP	NO	NO	UNCHANGED_FROM_W08_CANDIDATE	PASS_AS_PRELIMINARY_FAMILY	NO
