competitor_authority_id,canonical_site,page_surface_lane_status,ranking_query_lane_status,ranking_query_source_system,ranking_query_source_snapshot,ranking_query_observation_count,ranking_query_unique_query_count,ranking_query_candidate_count,limitation_reason,overall_step07_discovery_status,notes
S07A001,wildberries.ru,COMPLETE_WITH_INACCESSIBLE_EVIDENCE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A002,ozon.ru,COMPLETE_WITH_INACCESSIBLE_EVIDENCE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A003,market.yandex.ru,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A004,livemaster.ru,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A005,avito.ru,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A006,aliexpress.ru,COMPLETE_WITH_INACCESSIBLE_EVIDENCE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A007,joom.ru,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A008,ru.wikipedia.org,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A009,ru.ruwiki.ru,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A010,kartaslov.ru,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
