test_id	universal_or_regression_control	observed_evidence	result	blocking_if_fail
W09-001	FROZEN_UPSTREAM_HASHES	PASS	PASS	YES
W09-002	NORMALIZED_IDENTITY_ACCOUNTING	PASS	PASS	YES
W09-003	ACTIVE_HOLD_ACCOUNTING	PASS	PASS	YES
W09-004	RAW_OCCURRENCE_ACCOUNTING	PASS	PASS	YES
W09-005	STEP03A_STEP03B_MUTATIONS	PASS	PASS	YES
W09-006	UNBOUNDED_PREFIX_OR_SUBSTRING_AS_SEMANTIC_PROOF	PASS	PASS	YES
W09-007	RULE_PRECEDENCE_CONTRACT	PASS	PASS	YES
W09-008	TOY_WITHOUT_GAME_IN_GAME_FAMILY	PASS	PASS	YES
W09-009	EXPLICIT_TASK_HIDDEN_BY_BROADER_TOPIC	PASS	PASS	YES
W09-010	W07_FIXTURES_NOT_REVERTED	fixtures=255;reverted=0	PASS	YES
W09-011	OLDER_LEXICAL_FIXTURES	PASS	PASS	YES
W09-012	UNKNOWN_TASK_DISCOVERY_ROUTE	W08_hidden={'ACQUIRE_ACCESS': 44, 'USE_CARE': 26, 'SELECT_GIFT': 10}	PASS	YES
W09-013	REPEATED_EXPLICIT_TASK_PATTERN_HIDDEN_IN_GENERIC	PASS	PASS	YES
W09-014	INDEPENDENT_DIAGNOSTIC_FULL_VOLUME	PASS	PASS	YES
W09-015	INDEPENDENT_DIAGNOSTIC_NOT_LIMITED_TO_KNOWN_PSF_IDS	PASS	PASS	YES
W09-016	INDEPENDENT_FAMILY_COHERENCE	PASS	PASS	YES
W09-017	PROVIDER_READY_WITH_EQUIVALENT_DURABLE_EVIDENCE	PASS	PASS	YES
W09-018	OWNER_FACT_GAP_SENT_TO_PROVIDER	PASS	PASS	YES
W09-019	INCREMENTAL_GAIN_NEGATIVE_VALUE_STOP_EXPLICIT	PASS	PASS	YES
W09-020	PROVIDER_CALLS	PASS	PASS	YES
W09-021	STEP05_BLOCKED	PASS	PASS	YES
W09-022	STEP06_NOT_STARTED	PASS	PASS	YES
W09-023	STALE_BASE_MUTABLE_STATE_FILE_OVERWRITE	PASS	PASS	YES
