queue_id	family_id	problem	missing_coverage_hypothesis	evidence_from_current_corrected_universe	proposed_probe_or_owner_question	provider_needed	expected_information_gain	stop_condition	possible_step03b_collision_risk	historical_queue_relation	executed_in_step04
PSQ001	PSF025	Три точных клиентских названия не имеют текущей квалифицированной наблюдаемой ветви.	Товарные варианты RSOTM, Soldier Of Fortune и «Бусидо — Путь Воина».	current corrected universe: identities=0; raw_occurrences=0; examples=[]	Later Step05: один объединённый ограниченный раунд с отдельными квалифицированными формулировками для трёх имён.	YES	Проверить, появляется ли отличимая товарная лексика для прямых карточек.	Остановиться после одного bounded round либо раньше, если ни одна ветвь не даёт новой различающей лексики.	media/title and generic-name collision	MERGES_HISTORICAL_E001_E002_E003	NO
PSQ002	PSF017	Молитвенная ветвь смешивает текст/практику и возможный физический товар.	Физическое представление «Молитва Иоанн Златоуст» и допустимая товарная формулировка.	"current corrected universe: identities=234; raw_occurrences=236; examples=[""святые четки"",""звезда лады богородицы купить"",""святцы"",""мантра аум"",""четки храм"",""святой алатырь"",""святые амулеты"",""святые обереги""]"	Сначала owner/client question; provider probe later только при подтверждённой физической форме.	YES	Клиентский факт позволит отделить предмет от текста до затрат на provider evidence.	Без client fact остановиться без provider call; после факта — один bounded probe.	religious practice versus physical product	PRESERVES_HISTORICAL_E004	NO
PSQ003	PSF009	Две карточки «Герб России» не раскрывают физическую форму, а текущая квалифицированная ветвь пуста.	Форма изделия и безопасное товарное уточнение.	"current corrected universe: identities=336; raw_occurrences=338; examples=[""аум 1"",""агисхьяльм"",""аум 2"",""аум 3"",""аум 4"",""аум м"",""аум 10"",""аум ом""]"	Owner/client question first; one later qualified probe only if form is confirmed.	YES	Не придумывать форму из текста запросов.	Остановиться после получения/отсутствия client fact; максимум один probe после подтверждения.	catalog name versus entity/logo	PRESERVES_HISTORICAL_E005	NO
PSQ004	PSF026	Товарно-квалифицированная брендовая ветвь отсутствует.	Бренд + поддержанный товар без одноимённого медиа.	current corrected universe: identities=0; raw_occurrences=0; examples=[]	Later Step05: один bounded branded-product probe after separate authorization.	YES	Отделить брендовый спрос от названия произведения.	Остановиться после одного раунда либо при отсутствии различающей лексики.	brand versus media title	PRESERVES_HISTORICAL_E006	NO
PSQ005	PSF009	Ом/Аум имеет товарное имя и несколько религиозных, медийных и промышленных референтов.	Высокоточный физический товарный квалификатор для Ом/Аум.	"current corrected universe: identities=336; raw_occurrences=338; examples=[""аум 1"",""агисхьяльм"",""аум 2"",""аум 3"",""аум 4"",""аум м"",""аум 10"",""аум ом""]"	Later Step05: bounded qualified product probes.	YES	Уменьшить большую омонимичную зону без token verdict.	Остановиться, когда товарная ветвь отделяется либо следующий probe не даёт новой границы.	catalog name versus practice/industrial/media	PRESERVES_HISTORICAL_E008	NO
PSQ006	PSF019	Гунгнир/Копьё Одина пересекается с играми и игровыми предметами.	Физический товарный квалификатор против игровых референтов.	"current corrected universe: identities=96; raw_occurrences=97; examples=[""игрушка оберег"",""амулеты id"",""чернобог гта"",""чернобог гта онлайн"",""глентус 1 играет в хоррор"",""код на амулет мары в скайриме"",""игрушка талисман"",""талисманов играть""]"	Later Step05: one bounded qualified product branch.	YES	Проверить материален ли отличимый товарный словарь.	Остановиться после отделения physical-product wording или одного безрезультатного раунда.	catalog name versus named game/item	PRESERVES_HISTORICAL_E009	NO
PSQ007	PSF021	Алатырь, Триглав, Ратиборец, Знич и Громовик имеют наблюдаемые place/person/organization collisions.	Товарные квалификаторы только для перечисленных материальных омонимов.	"current corrected universe: identities=168; raw_occurrences=168; examples=[""талисман фк"",""фк знич"",""инн оберег"",""яндекс четки"",""четки фамилии"",""талисман команды"",""завод оберег"",""обереги инны""]"	Later Step05: bounded per-name qualified probes, one combined authorization.	YES	Различить поддержанные карточки и чужие сущности.	Остановиться для имени после первой устойчивой границы или отсутствия новой лексики.	catalog name versus place/person/organization	PRESERVES_HISTORICAL_E010	NO
PSQ008	PSF018	Белобог, Чернобог и Мара пересекаются с медиа/играми.	Физические товарные формулировки, не совпадающие с произведениями и игровыми объектами.	"current corrected universe: identities=558; raw_occurrences=568; examples=[""четки автор"",""аум видео"",""аум читать"",""амулет дзен"",""алатырь видео"",""астрал амулет"",""четки видео"",""четки порно""]"	Later Step05: bounded qualified product probes.	YES	Проверить отличимую товарную ветвь прямых карточек.	Остановиться после одного раунда на имя или появления устойчивой границы.	catalog name versus media/game	PRESERVES_HISTORICAL_E011	NO
PSQ009	PSF012	Все 12 знаков есть в каталоге, но физическая форма/материалы не указаны.	Подтверждённая форма и затем единая система товарных формулировок 12 знаков.	"current corrected universe: identities=608; raw_occurrences=620; examples=[""амулет зодиака"",""кулон знак зодиака"",""знак скорпион талисман"",""камни амулеты"",""оберегающие камни"",""талисман зодиака"",""купить знак зодиака"",""весы зодиак талисман""]"	Owner/client question first; later Step05 only after fact confirmation.	YES	Факт предотвратит выдумывание ассортимента и позволит проверить полную товарную ветвь.	Без факта остановиться; после факта — один bounded template round across 12 signs.	zodiac product versus astrology	PRESERVES_HISTORICAL_E012	NO
PSQ010	PSF022	Формы `четка/чётка` и лексический шум остаются collision-зоной.	Безопасная товарная морфология, отличимая от `чётко/чёткий`.	"current corrected universe: identities=33; raw_occurrences=33; examples=[""четков"",""кс четка"",""ни четка"",""четка сон"",""гора четка"",""четка брат"",""четка поет"",""четка тела""]"	Later Step05: one bounded morphology-qualified probe after authorization.	YES	Проверить, какие формы дают предметный референт.	Остановиться после одного раунда и не расширять stem mechanically.	possible rosary morphology/typo	PRESERVES_HISTORICAL_E013	NO
PSQ011	PSF020	Автомобильный use-case пересекается с моделями, деталями и краской.	Только остающаяся use-vs-model граница, не общий синонимный поиск.	"current corrected universe: identities=57; raw_occurrences=76; examples=[""оберег краска"",""дав авто"",""звезда лада"",""воск для авто"",""краска зеленый амулет"",""купить руну даждьбога в машину"",""тормозные колодки амулет"",""драйв авто""]"	Later Step05: one bounded probe only if Step10 leaves a concrete collision.	YES	Клиентский use-case подтверждён, но референтные коллизии сохраняются.	Не запускать без конкретной нерешённой границы; максимум один test.	product use versus vehicle model/part	PRESERVES_HISTORICAL_E014	NO
PSQ012	PSF010	В спросе есть формы/материалы, которых нет в заголовках Ozon.	Фактические формы, материалы, размеры и конструкции ассортимента.	"current corrected universe: identities=94; raw_occurrences=102; examples=[""бусы обереги"",""медальон"",""кулон амулет"",""кулон оберег"",""оберег сталь"",""брелок амулет"",""брелок оберег"",""золото амулет""]"	Owner/client question; no provider expansion before the fact.	NO	Запросы не могут доказать наличие товара.	Остановиться после получения или явного отсутствия client fact.	unsupported physical form/material	PRESERVES_HISTORICAL_E015	NO
PSQ013	PSF011	Наблюдаются эффекты и аудитории, не подтверждённые клиентом.	Разрешённые фактические описания назначения без недоказанных обещаний.	"current corrected universe: identities=159; raw_occurrences=173; examples=[""амулет защиты"",""хранители"",""амулет женщина"",""амулет ребенку"",""талисман удачи"",""амулет здоровья"",""амулет на удачу"",""денежный амулет""]"	Owner/client question; no provider expansion required now.	NO	Зафиксировать безопасную claim boundary.	Остановиться после получения либо отсутствия допустимого client fact.	unverified effect/audience claim	PRESERVES_HISTORICAL_E016	NO
