query_id,query,source_serp_class,top10_target_rows,top10_adjacent_rows,top10_non_target_rows,top10_collision_rows,top10_uncertain_rows,target_purity_top10,dominant_page_type,dominant_page_type_count,query_intent_class,query_intent_confidence,collision_heavy_audit_flag,step06_treatment,top10_primary_rule,source_serp_class_status,accepted_intent_status,region_scope,device_scope,snapshot_scope,page_type_taxonomy_limitation,content_angle_scope,final_page_decision
S06Q001,амулет,COMMERCIAL_LED,10,0,0,0,0,1.0,MARKETPLACE_CATEGORY,4,COMMERCIAL_LED,HIGH,FALSE,TARGET_USABLE_SNAPSHOT,Top-10 primary; Top-3 amplifier; positions 11-20 secondary discovery/evidence.,PRELIMINARY_PROVENANCE_ONLY,ACCEPTED_STEP06_TOP10_ANALYTICAL_PROFILE,RUSSIA_PROVIDER_REGION_225,NOT_CAPTURED_BY_CURRENT_SOURCE,BOUNDED_SINGLE_ACQUISITION,AUDIO_SURFACES_MAY_BE_COLLAPSED_TO_OTHER_IN_WORK_SCHEMA,DEFERRED_TO_LATER_CONTENT_PAGE_SPEC_STEP,NONE
S06Q002,оберег,COMMERCIAL_LED,10,0,0,0,0,1.0,MARKETPLACE_CATEGORY,7,COMMERCIAL_LED,HIGH,FALSE,TARGET_USABLE_SNAPSHOT,Top-10 primary; Top-3 amplifier; positions 11-20 secondary discovery/evidence.,PRELIMINARY_PROVENANCE_ONLY,ACCEPTED_STEP06_TOP10_ANALYTICAL_PROFILE,RUSSIA_PROVIDER_REGION_225,NOT_CAPTURED_BY_CURRENT_SOURCE,BOUNDED_SINGLE_ACQUISITION,AUDIO_SURFACES_MAY_BE_COLLAPSED_TO_OTHER_IN_WORK_SCHEMA,DEFERRED_TO_LATER_CONTENT_PAGE_SPEC_STEP,NONE
S06Q003,талисман,COLLISION_OR_MISMATCH,8,1,0,1,0,0.8,ENCYCLOPEDIA,4,INFORMATIONAL_LED,MEDIUM,TRUE,COLLISION_HEAVY_REQUIRES_ROW_FILTERING,Top-10 primary; Top-3 amplifier; positions 11-20 secondary discovery/evidence.,PRELIMINARY_PROVENANCE_ONLY,ACCEPTED_STEP06_TOP10_ANALYTICAL_PROFILE,RUSSIA_PROVIDER_REGION_225,NOT_CAPTURED_BY_CURRENT_SOURCE,BOUNDED_SINGLE_ACQUISITION,AUDIO_SURFACES_MAY_BE_COLLAPSED_TO_OTHER_IN_WORK_SCHEMA,DEFERRED_TO_LATER_CONTENT_PAGE_SPEC_STEP,NONE
S06Q004,аум,INFORMATIONAL_LED,10,0,0,0,0,1.0,ARTICLE,6,INFORMATIONAL_LED,HIGH,FALSE,TARGET_USABLE_SNAPSHOT,Top-10 primary; Top-3 amplifier; positions 11-20 secondary discovery/evidence.,PRELIMINARY_PROVENANCE_ONLY,ACCEPTED_STEP06_TOP10_ANALYTICAL_PROFILE,RUSSIA_PROVIDER_REGION_225,NOT_CAPTURED_BY_CURRENT_SOURCE,BOUNDED_SINGLE_ACQUISITION,AUDIO_SURFACES_MAY_BE_COLLAPSED_TO_OTHER_IN_WORK_SCHEMA,DEFERRED_TO_LATER_CONTENT_PAGE_SPEC_STEP,NONE
S06Q005,буддийский символ,INFORMATIONAL_LED,8,2,0,0,0,0.8,ENCYCLOPEDIA,3,INFORMATIONAL_LED,HIGH,FALSE,TARGET_USABLE_SNAPSHOT,Top-10 primary; Top-3 amplifier; positions 11-20 secondary discovery/evidence.,PRELIMINARY_PROVENANCE_ONLY,ACCEPTED_STEP06_TOP10_ANALYTICAL_PROFILE,RUSSIA_PROVIDER_REGION_225,NOT_CAPTURED_BY_CURRENT_SOURCE,BOUNDED_SINGLE_ACQUISITION,AUDIO_SURFACES_MAY_BE_COLLAPSED_TO_OTHER_IN_WORK_SCHEMA,DEFERRED_TO_LATER_CONTENT_PAGE_SPEC_STEP,NONE
S06Q006,ваджра,COLLISION_OR_MISMATCH,1,0,0,9,0,0.1,VIDEO,3,COLLISION_OR_MISMATCH,HIGH,TRUE,COLLISION_HEAVY_REQUIRES_ROW_FILTERING,Top-10 primary; Top-3 amplifier; positions 11-20 secondary discovery/evidence.,PRELIMINARY_PROVENANCE_ONLY,ACCEPTED_STEP06_TOP10_ANALYTICAL_PROFILE,RUSSIA_PROVIDER_REGION_225,NOT_CAPTURED_BY_CURRENT_SOURCE,BOUNDED_SINGLE_ACQUISITION,AUDIO_SURFACES_MAY_BE_COLLAPSED_TO_OTHER_IN_WORK_SCHEMA,DEFERRED_TO_LATER_CONTENT_PAGE_SPEC_STEP,NONE
S06Q007,лотос,COLLISION_OR_MISMATCH,0,5,2,3,0,0.0,ARTICLE,3,COLLISION_OR_MISMATCH,HIGH,TRUE,COLLISION_HEAVY_REQUIRES_ROW_FILTERING,Top-10 primary; Top-3 amplifier; positions 11-20 secondary discovery/evidence.,PRELIMINARY_PROVENANCE_ONLY,ACCEPTED_STEP06_TOP10_ANALYTICAL_PROFILE,RUSSIA_PROVIDER_REGION_225,NOT_CAPTURED_BY_CURRENT_SOURCE,BOUNDED_SINGLE_ACQUISITION,AUDIO_SURFACES_MAY_BE_COLLAPSED_TO_OTHER_IN_WORK_SCHEMA,DEFERRED_TO_LATER_CONTENT_PAGE_SPEC_STEP,NONE
S06Q008,мантра,INFORMATIONAL_LED,10,0,0,0,0,1.0,OTHER,6,INFORMATIONAL_LED,MEDIUM,FALSE,TARGET_USABLE_SNAPSHOT,Top-10 primary; Top-3 amplifier; positions 11-20 secondary discovery/evidence.,PRELIMINARY_PROVENANCE_ONLY,ACCEPTED_STEP06_TOP10_ANALYTICAL_PROFILE,RUSSIA_PROVIDER_REGION_225,NOT_CAPTURED_BY_CURRENT_SOURCE,BOUNDED_SINGLE_ACQUISITION,AUDIO_SURFACES_MAY_BE_COLLAPSED_TO_OTHER_IN_WORK_SCHEMA,DEFERRED_TO_LATER_CONTENT_PAGE_SPEC_STEP,NONE
S06Q009,молот тора,COMMERCIAL_LED,7,1,0,1,1,0.7,MARKETPLACE_CATEGORY,6,HYBRID,MEDIUM,FALSE,TARGET_USABLE_SNAPSHOT,Top-10 primary; Top-3 amplifier; positions 11-20 secondary discovery/evidence.,PRELIMINARY_PROVENANCE_ONLY,ACCEPTED_STEP06_TOP10_ANALYTICAL_PROFILE,RUSSIA_PROVIDER_REGION_225,NOT_CAPTURED_BY_CURRENT_SOURCE,BOUNDED_SINGLE_ACQUISITION,AUDIO_SURFACES_MAY_BE_COLLAPSED_TO_OTHER_IN_WORK_SCHEMA,DEFERRED_TO_LATER_CONTENT_PAGE_SPEC_STEP,NONE
S06Q010,мусульманский амулет,COMMERCIAL_LED,10,0,0,0,0,1.0,MARKETPLACE_PRODUCT,4,COMMERCIAL_LED,HIGH,FALSE,TARGET_USABLE_SNAPSHOT,Top-10 primary; Top-3 amplifier; positions 11-20 secondary discovery/evidence.,PRELIMINARY_PROVENANCE_ONLY,ACCEPTED_STEP06_TOP10_ANALYTICAL_PROFILE,RUSSIA_PROVIDER_REGION_225,NOT_CAPTURED_BY_CURRENT_SOURCE,BOUNDED_SINGLE_ACQUISITION,AUDIO_SURFACES_MAY_BE_COLLAPSED_TO_OTHER_IN_WORK_SCHEMA,DEFERRED_TO_LATER_CONTENT_PAGE_SPEC_STEP,NONE
S06Q011,ом,INFORMATIONAL_LED,10,0,0,0,0,1.0,ENCYCLOPEDIA,5,INFORMATIONAL_LED,HIGH,FALSE,TARGET_USABLE_SNAPSHOT,Top-10 primary; Top-3 amplifier; positions 11-20 secondary discovery/evidence.,PRELIMINARY_PROVENANCE_ONLY,ACCEPTED_STEP06_TOP10_ANALYTICAL_PROFILE,RUSSIA_PROVIDER_REGION_225,NOT_CAPTURED_BY_CURRENT_SOURCE,BOUNDED_SINGLE_ACQUISITION,AUDIO_SURFACES_MAY_BE_COLLAPSED_TO_OTHER_IN_WORK_SCHEMA,DEFERRED_TO_LATER_CONTENT_PAGE_SPEC_STEP,NONE
