family_id	family_label	member_count	raw_occurrence_count	independent_topic_count	independent_topic_entropy_normalized	dominant_independent_topic_share	mean_assigned_centroid_similarity	nearest_other_centroid_override_rate	nearest_other_family_id	nearest_other_family_centroid_similarity	critical_rule_defect_rows	full_volume_finding	diagnostic_boundary	verdict
PSF001	Общие названия товара без уточнения	2870	2948	27	0.651888	0.401045	0.043581	0.005923	PSF011	0.244938	0	Generic family contains no independent accepted or bounded DIY signal after correction; remaining breadth is preliminary only.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS_WITH_NONBLOCKING_FINDINGS
PSF002	Общие товарные запросы с покупкой	70	70	11	0.486427	0.514286	0.408601	0.014286	PSF005	0.505847	0	No material post-correction family defect found; lexical heterogeneity remains non-final diagnostic evidence.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS
PSF003	Товары для автомобиля	148	158	15	0.395636	0.608108	0.431640	0.054054	PSF020	0.140189	0	No material post-correction family defect found; lexical heterogeneity remains non-final diagnostic evidence.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS_WITH_NONBLOCKING_FINDINGS
PSF004	Чётки как физический предмет	662	663	21	0.587769	0.492447	0.065171	0.036254	PSF002	0.242534	0	No material post-correction family defect found; lexical heterogeneity remains non-final diagnostic evidence.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS_WITH_NONBLOCKING_FINDINGS
PSF005	Каталожное имя с товаром, формой или покупкой	497	537	24	0.739795	0.217304	0.179944	0.130785	PSF002	0.505847	0	No material post-correction family defect found; lexical heterogeneity remains non-final diagnostic evidence.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS_WITH_NONBLOCKING_FINDINGS
PSF006	Каталожное имя без достаточного уточнения	2109	2131	26	0.806525	0.141773	0.259034	0.009009	PSF005	0.311343	0	No material post-correction family defect found; lexical heterogeneity remains non-final diagnostic evidence.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS_WITH_NONBLOCKING_FINDINGS
PSF007	Значение, история и трактовка каталожных символов	360	377	17	0.616077	0.313889	0.280836	0.033333	PSF008	0.327379	0	No material post-correction family defect found; lexical heterogeneity remains non-final diagnostic evidence.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS
PSF008	Визуальные символы, руны и body-art	339	339	20	0.730752	0.159292	0.227336	0.058997	PSF016	0.567623	0	No material post-correction family defect found; lexical heterogeneity remains non-final diagnostic evidence.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS
PSF009	Каталожные имена с омонимами	336	338	13	0.378824	0.607143	0.346006	0.005952	PSF017	0.148790	0	No material post-correction family defect found; lexical heterogeneity remains non-final diagnostic evidence.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS_WITH_NONBLOCKING_FINDINGS
PSF010	Форма или материал вне подтверждённых фактов	92	100	16	0.722043	0.152174	0.194636	0.010870	PSF012	0.328187	0	No material post-correction family defect found; lexical heterogeneity remains non-final diagnostic evidence.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS_WITH_NONBLOCKING_FINDINGS
