site,canonical_site,registry_class,all_query_coverage_22,coverage_pct_22,all_top3_query_coverage_22,all_top10_query_coverage_22,all_serp_rows_440,best_rank_any,accepted_commercial_query_top10_coverage_6,accepted_commercial_query_top3_coverage_6,accepted_informational_query_top10_coverage_11,accepted_informational_query_top3_coverage_11,accepted_hybrid_query_top10_coverage_1,accepted_uncertain_query_top10_coverage_1,accepted_collision_mismatch_query_top10_coverage_3,collision_heavy_audit_query_top10_coverage_4,safe_query_subset_top10_coverage_17,safe_commercial_query_top10_coverage_6,safe_informational_query_top10_coverage_10,safe_hybrid_query_top10_coverage_1,registry_priority,registry_inclusion_basis,collision_dependency,evidence_queries,metric_granularity,hardening_status,hardening_note
wildberries.ru,wildberries.ru,BROAD_COMMERCIAL_PLATFORM,13,59.09,4,7,23,2,5,4,1,0,1,0,0,0,7,5,1,1,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q002 оберег #2; S06Q010 мусульманский амулет #2; S06Q017 славянский оберег #2; S06Q019 талисман удачи #3; S06Q009 молот тора #4; S06Q001 амулет #6; S06Q018 славянский символ #8; S06Q003 талисман #11,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
ozon.ru,ozon.ru,BROAD_COMMERCIAL_PLATFORM,12,54.55,7,10,28,1,6,6,2,0,1,1,0,1,8,6,1,1,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,PARTIAL_COLLISION_CONTAMINATION,S06Q002 оберег #1; S06Q009 молот тора #1; S06Q010 мусульманский амулет #1; S06Q019 талисман удачи #1; S06Q021 фигурка будды #1; S06Q001 амулет #2; S06Q017 славянский оберег #3; S06Q012 подкова #4,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
market.yandex.ru,market.yandex.ru,BROAD_COMMERCIAL_PLATFORM,8,36.36,1,3,25,2,2,1,1,0,0,0,0,0,3,2,1,0,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q019 талисман удачи #2; S06Q002 оберег #5; S06Q018 славянский символ #9; S06Q001 амулет #11; S06Q009 молот тора #12; S06Q020 улитка #12; S06Q003 талисман #15; S06Q012 подкова #18,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
livemaster.ru,livemaster.ru,BROAD_COMMERCIAL_PLATFORM,8,36.36,1,5,11,3,3,0,0,0,1,1,0,0,4,3,0,1,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q009 молот тора #3; S06Q001 амулет #4; S06Q012 подкова #5; S06Q019 талисман удачи #6; S06Q017 славянский оберег #7; S06Q011 ом #13; S06Q018 славянский символ #15; S06Q013 руна #16,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
avito.ru,avito.ru,BROAD_COMMERCIAL_PLATFORM,4,18.18,2,4,10,1,2,1,0,0,1,1,0,0,3,2,0,1,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q012 подкова #1; S06Q021 фигурка будды #2; S06Q009 молот тора #6; S06Q010 мусульманский амулет #8,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
aliexpress.ru,aliexpress.ru,BROAD_COMMERCIAL_PLATFORM,2,9.09,0,1,2,8,1,0,0,0,0,0,0,0,1,1,0,0,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q001 амулет #8; S06Q019 талисман удачи #19,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
joom.ru,joom.ru,BROAD_COMMERCIAL_PLATFORM,2,9.09,0,1,2,6,1,0,0,0,0,0,0,0,1,1,0,0,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q010 мусульманский амулет #6; S06Q001 амулет #14,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
ru.wikipedia.org,ru.wikipedia.org,BROAD_INFORMATIONAL,17,77.27,14,15,21,1,1,0,10,10,1,0,3,4,11,1,9,1,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,PARTIAL_COLLISION_CONTAMINATION,S06Q003 талисман #1; S06Q004 аум #1; S06Q005 буддийский символ #1; S06Q008 мантра #1; S06Q011 ом #1; S06Q014 руна альгиз #1; S06Q015 руна отал #1; S06Q016 руна феху #1,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
ru.ruwiki.ru,ru.ruwiki.ru,BROAD_INFORMATIONAL,8,36.36,7,8,10,2,0,0,7,6,0,0,1,2,6,0,6,0,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,PARTIAL_COLLISION_CONTAMINATION,S06Q004 аум #2; S06Q013 руна #2; S06Q020 улитка #2; S06Q022 христианский символ #2; S06Q005 буддийский символ #3; S06Q008 мантра #3; S06Q016 руна феху #3; S06Q003 талисман #6,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
kartaslov.ru,kartaslov.ru,BROAD_INFORMATIONAL,5,22.73,1,3,6,3,0,0,3,1,0,0,0,1,2,0,2,0,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,PARTIAL_COLLISION_CONTAMINATION,S06Q003 талисман #3; S06Q011 ом #8; S06Q013 руна #10; S06Q018 славянский символ #12; S06Q020 улитка #13,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
