raw_occurrence_id	normalized_phrase_id	canonical_phrase	raw_phrase	current_step03b_state	current_step03b_reason	step04_scope_state	post_sanitation_family_id	family_assignment_reason	family_context_supports_business	ambiguity_class	later_evidence_needed	source_seed_run_provenance_locator	historical_step04_family_id	historical_step04_family_label	historical_vs_new_family_relation	raw_observed_count_descriptive_only	frequency_used_for_assignment
R001|results|0001	NP00001	амулет	амулет	KEEP	KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	ACTIVE_SEMANTIC_SCOPE	PSF001	SUPPORTED_GENERIC_PRODUCT_UNQUALIFIED	YES	GENERIC_PRODUCT_NOUN_NEEDS_REFERENT	STEP10	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=1	F001	Прямые общие наименования «амулет», «оберег», «талисман»	PRESERVED_OR_REFINED	478857	NO
R002|associations|0005	NP00001	амулет	амулет	KEEP	KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	ACTIVE_SEMANTIC_SCOPE	PSF001	SUPPORTED_GENERIC_PRODUCT_UNQUALIFIED	YES	GENERIC_PRODUCT_NOUN_NEEDS_REFERENT	STEP10	run=2|seed=S002|request=wordstat-59d28ae6-a727-400c-8cb4-9a9e6ca352a0|carrier=STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R001|channel=associations|position=5	F013	Ассоциации провайдера без достаточного контекста	MOVED_BETWEEN_FAMILY_MEANINGS	478463	NO
R003|associations|0003	NP00001	амулет	амулет	KEEP	KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	ACTIVE_SEMANTIC_SCOPE	PSF001	SUPPORTED_GENERIC_PRODUCT_UNQUALIFIED	YES	GENERIC_PRODUCT_NOUN_NEEDS_REFERENT	STEP10	run=3|seed=S003|request=wordstat-7fa06c3d-a03c-4daa-a1ab-a33c7583d2e6|carrier=STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R002|channel=associations|position=3	F013	Ассоциации провайдера без достаточного контекста	MOVED_BETWEEN_FAMILY_MEANINGS	478463	NO
R005|associations|0002	NP00001	амулет	амулет	KEEP	KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	ACTIVE_SEMANTIC_SCOPE	PSF001	SUPPORTED_GENERIC_PRODUCT_UNQUALIFIED	YES	GENERIC_PRODUCT_NOUN_NEEDS_REFERENT	STEP10	run=5|seed=S005|request=wordstat-9abdd468-6be0-4488-87b0-1ef4e0c00eec|carrier=STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R004|channel=associations|position=2	F013	Ассоциации провайдера без достаточного контекста	MOVED_BETWEEN_FAMILY_MEANINGS	478463	NO
R056|associations|0002	NP00001	амулет	амулет	KEEP	KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	ACTIVE_SEMANTIC_SCOPE	PSF001	SUPPORTED_GENERIC_PRODUCT_UNQUALIFIED	YES	GENERIC_PRODUCT_NOUN_NEEDS_REFERENT	STEP10	run=56|seed=Q008|request=wordstat-7c93faaa-4e04-4aa9-a1e7-48adcf84e7d8|carrier=STEP_03_WORDSTAT_RAW/MANUAL__056__wordstat-7c93faaa-4e04-4aa9-a1e7-48adcf84e7d8.raw.txt|channel=associations|position=2	F013	Ассоциации провайдера без достаточного контекста	MOVED_BETWEEN_FAMILY_MEANINGS	478463	NO
R058|associations|0003	NP00001	амулет	амулет	KEEP	KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	ACTIVE_SEMANTIC_SCOPE	PSF001	SUPPORTED_GENERIC_PRODUCT_UNQUALIFIED	YES	GENERIC_PRODUCT_NOUN_NEEDS_REFERENT	STEP10	run=58|seed=Q010|request=wordstat-b97c3933-0ff9-41b4-9837-0694f0afdbc4|carrier=STEP_03_WORDSTAT_RAW/MANUAL__058__wordstat-b97c3933-0ff9-41b4-9837-0694f0afdbc4.raw.txt|channel=associations|position=3	F013	Ассоциации провайдера без достаточного контекста	MOVED_BETWEEN_FAMILY_MEANINGS	478463	NO
R068|associations|0002	NP00001	амулет	амулет	KEEP	KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	ACTIVE_SEMANTIC_SCOPE	PSF001	SUPPORTED_GENERIC_PRODUCT_UNQUALIFIED	YES	GENERIC_PRODUCT_NOUN_NEEDS_REFERENT	STEP10	run=68|seed=U001|request=wordstat-3515351f-1a9b-426b-91c2-860e7b3d8185|carrier=STEP_03_WORDSTAT_RAW/MANUAL__068__wordstat-3515351f-1a9b-426b-91c2-860e7b3d8185.raw.txt|channel=associations|position=2	F013	Ассоциации провайдера без достаточного контекста	MOVED_BETWEEN_FAMILY_MEANINGS	478463	NO
R001|results|0002	NP00002	счастливый амулет	счастливый амулет	HOLD	HOLD_TITLE_LIKE_PRODUCT_WORD_COLLISION	HOLD_SEMANTIC_SCOPE	PSF018	REASON_BOUND_MEDIA_TITLE_OR_ACTION_COLLISION	MIXED	PRODUCT_NAME_VS_MEDIA_TITLE	SERP_REQUIRED	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=2	F025	Общее товарное слово в неразрешённом контексте	PRESERVED_OR_REFINED	158188	NO
R061|associations|0001	NP00002	счастливый амулет	счастливый амулет	HOLD	HOLD_TITLE_LIKE_PRODUCT_WORD_COLLISION	HOLD_SEMANTIC_SCOPE	PSF018	REASON_BOUND_MEDIA_TITLE_OR_ACTION_COLLISION	MIXED	PRODUCT_NAME_VS_MEDIA_TITLE	SERP_REQUIRED	run=61|seed=Q013|request=wordstat-e27f5e9b-7567-4ca8-bd8d-a8bc836ba4c7|carrier=STEP_03_WORDSTAT_RAW/MANUAL__061__wordstat-e27f5e9b-7567-4ca8-bd8d-a8bc836ba4c7.raw.txt|channel=associations|position=1	F013	Ассоциации провайдера без достаточного контекста	MOVED_BETWEEN_FAMILY_MEANINGS	157915	NO
R001|results|0003	NP00003	амулет дзене	амулет дзене	HOLD	HOLD_TITLE_LIKE_PRODUCT_WORD_COLLISION	HOLD_SEMANTIC_SCOPE	PSF018	REASON_BOUND_MEDIA_TITLE_OR_ACTION_COLLISION	MIXED	PRODUCT_NAME_VS_MEDIA_TITLE	SERP_REQUIRED	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=3	F017	Книги, аудиокниги, сериалы, фильмы и музыка	PRESERVED_OR_REFINED	82078	NO
