corrected_state	sanitation_reason_code	deterministic_basis	confidence	normalized_identity_count	raw_occurrence_count	representative_phrases	audit_oracle_agreement	source_boundary
EXCLUDE	EXCLUDE_CLEAR_LEXICAL_GARBAGE	CLEAR_LEXICAL_GARBAGE	high	1197	1201	"[""четко"", ""четкие четки"", ""четкий контур"", ""какая четкая"", ""четкий ответ""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
EXCLUDE	EXCLUDE_EXPLICIT_ALATYR_PLACE_OR_LOCAL_ENTITY_CONTEXT	EXPLICIT_ALATYR_PLACE_OR_LOCAL_ENTITY_CONTEXT	high	448	448	"[""погода в алатыре"", ""алатырь город"", ""чувашия алатырь"", ""погода в алатыре на день"", ""погода в алатыре на 10""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
EXCLUDE	EXCLUDE_EXPLICIT_ASTROLOGY_INFORMATION_TASK	EXPLICIT_ASTROLOGY_INFORMATION_TASK	high	1900	2319	"[""оберегает по дате рождения"", ""звезда в созвездии льва"", ""звездные созвездия"", ""какой знак зодиака"", ""гороскоп по знакам зодиака""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
EXCLUDE	EXCLUDE_EXPLICIT_DIGITAL_MEDIA_CONSUMPTION_CONTEXT	EXPLICIT_DIGITAL_MEDIA_CONSUMPTION_CONTEXT	high	167	167	"[""счастливый амулет читать"", ""амулет дзен читать"", ""счастливый амулет дзен читать"", ""канал счастливый амулет"", ""читать на на дзене счастливый амулет""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
EXCLUDE	EXCLUDE_EXPLICIT_DIGITAL_MEDIA_TITLE_CONTEXT	EXPLICIT_DIGITAL_MEDIA_TITLE_CONTEXT	high	17	17	"[""астрал амулет зла онлайн"", ""астрал амулет зла смотреть онлайн"", ""смотреть бесплатно астрал амулет зла"", ""талисман для золотой рыбки онлайн"", ""талисман для золотой рыбки смотреть онлайн""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
EXCLUDE	EXCLUDE_EXPLICIT_GAME_OR_GAME_ITEM_CONTEXT	EXPLICIT_GAME_OR_GAME_ITEM_CONTEXT	high	292	296	"[""hollow knight амулеты"", ""террария амулеты"", ""амулеты скайрим"", ""амулет лавы террария"", ""ячейки амулетов""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
EXCLUDE	EXCLUDE_EXPLICIT_INDUSTRIAL_AUMA_CONTEXT	EXPLICIT_INDUSTRIAL_AUMA_CONTEXT	high	66	66	"[""приводы аума"", ""электропривод аума"", ""задвижка аума"", ""аума схема подключения"", ""настройка аума""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
EXCLUDE	EXCLUDE_EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	high	1200	1210	"[""счастливый амулет глава"", ""и город перестал дышать счастливый амулет глава"", ""рассказ амулет"", ""счастливый амулет рассказы"", ""амулет дзен рассказы""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
EXCLUDE	EXCLUDE_EXPLICIT_PERSON_OR_FOREIGN_ENTITY_CONTEXT	EXPLICIT_PERSON_OR_FOREIGN_ENTITY_CONTEXT	high	31	32	"[""кто такой бог"", ""у каких блогеров знак зодиака стрелец"", ""у кого из блогеров знак зодиака стрелец"", ""блогеры со знаком зодиака стрелец"", ""у какого популярного блогера знак зодиака стрелец""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
EXCLUDE	EXCLUDE_EXPLICIT_PLACE_OR_ORGANIZATION_CONTEXT	EXPLICIT_PLACE_OR_ORGANIZATION_CONTEXT	high	206	206	"[""домовой как задобрить в квартире чтобы оберегал"", ""вегвизир самара"", ""ооо вега"", ""ооо валькнут"", ""обложка на студенческий билет валькнут""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
EXCLUDE	EXCLUDE_EXPLICIT_REAL_ESTATE_CONTEXT	EXPLICIT_REAL_ESTATE_CONTEXT	high	8	8	"[""талисман купить квартиру"", ""недвижимость алатырь"", ""купить недвижимость алатырь"", ""агентство недвижимости алатырь"", ""азбука алатырь недвижимость""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
EXCLUDE	EXCLUDE_EXPLICIT_RELIGIOUS_PRACTICE_WITHOUT_PRODUCT	EXPLICIT_RELIGIOUS_PRACTICE_WITHOUT_PRODUCT	high	124	131	"[""молитва оберегающая"", ""сильные оберегающие молитвы"", ""оберегающие иконы"", ""оберегающая молитва материнская сильная"", ""молитва оберегающая сыновей""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
EXCLUDE	EXCLUDE_EXPLICIT_SPORT_TEAM_EVENT_OR_MASCOT_CONTEXT	EXPLICIT_SPORT_TEAM_EVENT_OR_MASCOT_CONTEXT	high	19	19	"[""талисман футбола"", ""талисман чемпионата"", ""талисманы олимпиады"", ""талисманы чемпионата мира"", ""талисманы чемпионатов по футболу""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
EXCLUDE	EXCLUDE_EXPLICIT_UNSUPPORTED_CLOTHING_PRODUCT	EXPLICIT_UNSUPPORTED_CLOTHING_PRODUCT	high	12	12	"[""футболка оберег"", ""мини футболка талисман криштиану роналду в машину"", ""футболка валькнут"", ""футболка на валберис восьмилучевой коловрат и валькнут"", ""футболка на озон восьмилучевой коловрат и валькнут""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
EXCLUDE	EXCLUDE_EXPLICIT_UNSUPPORTED_PRODUCT_OR_LOCAL_ENTITY_CONTEXT	EXPLICIT_UNSUPPORTED_PRODUCT_OR_LOCAL_ENTITY_CONTEXT	high	215	217	"[""духи амулет"", ""телефон амулет"", ""томат амулет"", ""оберег телефон"", ""оберег одежда""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
EXCLUDE	EXCLUDE_EXPLICIT_VEHICLE_BRAND_OR_MODEL_CONTEXT	EXPLICIT_VEHICLE_BRAND_OR_MODEL_CONTEXT	high	41	41	"[""чере амулет"", ""амулет черри"", ""амулет ваз"", ""цвет амулет ваз"", ""рено амулет""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
EXCLUDE	EXCLUDE_EXPLICIT_VEHICLE_MODEL_OR_PART_CONTEXT	EXPLICIT_VEHICLE_MODEL_OR_PART_CONTEXT	high	498	503	"[""чери амулет"", ""амулет а15"", ""чери амулет а15"", ""купить чери амулет"", ""двигатель амулет""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
